abgeschlossen in 0.6023863991101582 Minuten
wurde auf die 2-Nachbarschaft jedes Knotens angewendet.
1.Platz: 17 mit 0.08870105740398004
2.Platz: 7 mit 0.06758981201584402
3.Platz: 21 mit 0.06675821416707228
4.Platz: 13 mit 0.056114208019820144
5.Platz: 25 mit 0.05025855684939751
6.Platz: 33 mit 0.03322970090068611
7.Platz: 44 mit 0.02899958115287482
8.Platz: 28 mit 0.026784817572705566
9.Platz: 39 mit 0.026640180786174472
10.Platz: 12 mit 0.025783120163957784
11.Platz: 88 mit 0.025405121141788833
12.Platz: 22 mit 0.023430194397688564
13.Platz: 49 mit 0.021644030871207698
14.Platz: 189 mit 0.019542705278592476
15.Platz: 188 mit 0.019542705278592476
16.Platz: 10 mit 0.019262637031543295
17.Platz: 190 mit 0.019027217741935498
18.Platz: 11 mit 0.017977440356168883
19.Platz: 9 mit 0.01722144231183098
20.Platz: 5 mit 0.016673343729685985
21.Platz: 41 mit 0.016164939011165114
22.Platz: 19 mit 0.015388147054311574
23.Platz: 27 mit 0.015142447689901806
24.Platz: 24 mit 0.014613249058865296
25.Platz: 53 mit 0.014247012143225324
26.Platz: 75 mit 0.01378154630611017
27.Platz: 68 mit 0.013698630136986245
28.Platz: 147 mit 0.013535836096355225
29.Platz: 129 mit 0.013511009443968769
30.Platz: 26 mit 0.01321644014077239
31.Platz: 139 mit 0.01296800252083996
32.Platz: 66 mit 0.012341616846613723
33.Platz: 205 mit 0.012268213166640951
34.Platz: 162 mit 0.012178619756427644
35.Platz: 160 mit 0.012004469867121004
36.Platz: 195 mit 0.011894518801784604
37.Platz: 52 mit 0.011867412255898713
38.Platz: 127 mit 0.01181945556445152
39.Platz: 140 mit 0.011818676420629393
40.Platz: 158 mit 0.011805317371629598
41.Platz: 23 mit 0.011740456490381135
42.Platz: 51 mit 0.01142878522748203
43.Platz: 87 mit 0.01142346601381683
44.Platz: 123 mit 0.011328210256794424
45.Platz: 207 mit 0.011115564672257161
46.Platz: 170 mit 0.010995316853399606
47.Platz: 132 mit 0.010815104629794181
48.Platz: 131 mit 0.010815104629794181
49.Platz: 166 mit 0.010804508356004772
50.Platz: 130 mit 0.01074277954264391
51.Platz: 104 mit 0.010596682347115749
52.Platz: 169 mit 0.01053979385143966
53.Platz: 220 mit 0.010538617140581241
54.Platz: 181 mit 0.01052723399566613
55.Platz: 178 mit 0.010439121303572718
56.Platz: 182 mit 0.010365730450595967
57.Platz: 219 mit 0.010350479303632532
58.Platz: 197 mit 0.010350479303632532
59.Platz: 45 mit 0.010240016479098113
60.Platz: 192 mit 0.010096232673704408
61.Platz: 223 mit 0.01002834222030069
62.Platz: 46 mit 0.009986491893155258
63.Platz: 47 mit 0.009942604011373146
64.Platz: 122 mit 0.009931690843502872
65.Platz: 135 mit 0.009811169278629905
66.Platz: 208 mit 0.009805271439811136
67.Platz: 187 mit 0.009759933799126097
68.Platz: 58 mit 0.009711810341071492
69.Platz: 120 mit 0.009692899726167603
70.Platz: 86 mit 0.009601556944695
71.Platz: 8 mit 0.009535634361393264
72.Platz: 43 mit 0.009492498375832326
73.Platz: 84 mit 0.009481056795576648
74.Platz: 29 mit 0.009415762504042191
75.Platz: 175 mit 0.009293757675415848
76.Platz: 172 mit 0.009235812607670257
77.Platz: 124 mit 0.009235020360674806
78.Platz: 159 mit 0.009119461283046082
79.Platz: 179 mit 0.009069188651070315
80.Platz: 15 mit 0.009056663432981615
81.Platz: 125 mit 0.00893361193592146
82.Platz: 243 mit 0.008868960731292841
83.Platz: 153 mit 0.008841701109651545
84.Platz: 80 mit 0.008781167159258585
85.Platz: 16 mit 0.008735364264138012
86.Platz: 224 mit 0.008681316233095981
87.Platz: 128 mit 0.008602888883439297
88.Platz: 209 mit 0.008522992287580688
89.Platz: 186 mit 0.008516880153577988
90.Platz: 185 mit 0.008516880153577988
91.Platz: 184 mit 0.008516880153577988
92.Platz: 242 mit 0.008516616768970864
93.Platz: 241 mit 0.008516616768970864
94.Platz: 250 mit 0.008487057380759944
95.Platz: 138 mit 0.00842095858814651
96.Platz: 85 mit 0.00840765951454614
