abgeschlossen in 0.03280511299769084 Minuten
wurde auf die 5-Nachbarschaft jedes Knotens angewendet.
1.Platz: 243 mit 0.5
2.Platz: 242 mit 0.5
3.Platz: 223 mit 0.5
4.Platz: 222 mit 0.5
5.Platz: 130 mit 0.5
6.Platz: 129 mit 0.5
7.Platz: 272 mit 0.4444444444444444
8.Platz: 82 mit 0.4444444444444444
9.Platz: 72 mit 0.4444444444444444
10.Platz: 307 mit 0.33333333333333337
11.Platz: 304 mit 0.33333333333333337
12.Platz: 2 mit 0.33333333333333337
13.Platz: 1 mit 0.33333333333333337
14.Platz: 0 mit 0.33333333333333337
15.Platz: 21 mit 0.32258064516129026
16.Platz: 99 mit 0.27359781121751026
17.Platz: 303 mit 0.25
18.Platz: 269 mit 0.22364176022712612
19.Platz: 271 mit 0.2222222222222222
20.Platz: 270 mit 0.2222222222222222
21.Platz: 85 mit 0.2222222222222222
22.Platz: 83 mit 0.2222222222222222
23.Platz: 74 mit 0.2222222222222222
24.Platz: 73 mit 0.2222222222222222
25.Platz: 29 mit 0.19999999999999996
26.Platz: 28 mit 0.19999999999999996
27.Platz: 27 mit 0.19999999999999996
28.Platz: 26 mit 0.19999999999999996
29.Platz: 25 mit 0.19999999999999996
30.Platz: 415 mit 0.19532474236306985
31.Platz: 312 mit 0.19354838709677413
32.Platz: 309 mit 0.19354838709677413
33.Platz: 298 mit 0.19354838709677413
34.Platz: 302 mit 0.18181818181818177
35.Platz: 299 mit 0.18181818181818177
36.Platz: 239 mit 0.17136695421366954
37.Platz: 133 mit 0.17100443416232902
38.Platz: 235 mit 0.1695006635700067
39.Platz: 114 mit 0.16629314208874946
40.Platz: 286 mit 0.16551724137931034
41.Platz: 314 mit 0.1577060931899641
42.Platz: 80 mit 0.1435185185185185
43.Platz: 77 mit 0.1435185185185185
44.Platz: 76 mit 0.1435185185185185
45.Platz: 306 mit 0.1428571428571428
46.Platz: 305 mit 0.1428571428571428
47.Platz: 296 mit 0.14022988505747114
48.Platz: 294 mit 0.14022988505747114
49.Platz: 287 mit 0.14022988505747114
50.Platz: 31 mit 0.1384463555618215
51.Platz: 381 mit 0.12951807228915668
52.Platz: 293 mit 0.11494252873563204
53.Platz: 10 mit 0.11414392059553347
54.Platz: 318 mit 0.11363636363636365
55.Platz: 317 mit 0.11363636363636365
56.Platz: 98 mit 0.11354309165526666
57.Platz: 94 mit 0.11354309165526666
58.Platz: 8 mit 0.10989010989010983
59.Platz: 3 mit 0.10989010989010983
60.Platz: 111 mit 0.10174809502465254
61.Platz: 88 mit 0.09722222222222221
62.Platz: 81 mit 0.09722222222222221
63.Platz: 79 mit 0.09722222222222221
64.Platz: 24 mit 0.09677419354838701
65.Platz: 23 mit 0.09677419354838701
66.Platz: 22 mit 0.09677419354838701
67.Platz: 20 mit 0.09677419354838701
68.Platz: 19 mit 0.09677419354838701
69.Platz: 18 mit 0.09677419354838701
70.Platz: 291 mit 0.08965517241379306
71.Platz: 100 mit 0.08891928864569087
72.Platz: 97 mit 0.08891928864569087
73.Platz: 313 mit 0.08602150537634401
74.Platz: 310 mit 0.08602150537634401
75.Platz: 13 mit 0.08192090395480234
76.Platz: 134 mit 0.07981492192018513
77.Platz: 42 mit 0.07923304666572684
78.Platz: 383 mit 0.07831325301204817
79.Platz: 382 mit 0.07831325301204817
80.Platz: 7 mit 0.07692307692307687
81.Platz: 5 mit 0.07692307692307687
82.Platz: 4 mit 0.07692307692307687
83.Platz: 233 mit 0.07618613138686126
84.Platz: 37 mit 0.07331171577611728
85.Platz: 245 mit 0.07058725945587263
86.Platz: 117 mit 0.0694755714926042
87.Platz: 116 mit 0.0694755714926042
88.Platz: 115 mit 0.0694755714926042
89.Platz: 105 mit 0.0694755714926042
90.Platz: 148 mit 0.06945247734721427
91.Platz: 210 mit 0.0647626235230302
92.Platz: 295 mit 0.06436781609195397
93.Platz: 290 mit 0.06436781609195397
94.Platz: 170 mit 0.05963903176446739
95.Platz: 393 mit 0.059090032774243406
96.Platz: 112 mit 0.058718063648588115
97.Platz: 110 mit 0.058718063648588115
98.Platz: 203 mit 0.05831328352538934
99.Platz: 328 mit 0.05485232067510559
100.Platz: 237 mit 0.05379064366290642
101.Platz: 422 mit 0.05373965304278894
102.Platz: 421 mit 0.05373965304278894
103.Platz: 93 mit 0.051983584131326865
104.Platz: 90 mit 0.051983584131326865
105.Platz: 89 mit 0.05092592592592593
106.Platz: 87 mit 0.05092592592592593
107.Platz: 86 mit 0.05092592592592593
108.Platz: 315 mit 0.05017921146953397
109.Platz: 311 mit 0.05017921146953397
110.Platz: 238 mit 0.05005806237558075
111.Platz: 47 mit 0.049626392217679394
112.Platz: 35 mit 0.049626392217679394
113.Platz: 34 mit 0.049626392217679394
114.Platz: 30 mit 0.049626392217679394
115.Platz: 423 mit 0.049020150065446355
116.Platz: 178 mit 0.04875124875124881
117.Platz: 113 mit 0.047960555804572036
118.Platz: 420 mit 0.04666039857677495
119.Platz: 391 mit 0.046655099286678325
120.Platz: 301 mit 0.045454545454545414
121.Platz: 14 mit 0.04519774011299449
122.Platz: 12 mit 0.04519774011299449
123.Platz: 9 mit 0.04466501240694798
124.Platz: 132 mit 0.04458261037208411
125.Platz: 419 mit 0.04430064708810355
126.Platz: 6 mit 0.04395604395604391
127.Platz: 41 mit 0.04370506132806995
128.Platz: 387 mit 0.042581801882564
129.Platz: 396 mit 0.04251012145748989
130.Platz: 125 mit 0.0412199909406612
131.Platz: 411 mit 0.0407610198550965
132.Platz: 249 mit 0.040726609157266114
133.Platz: 247 mit 0.040726609157266114
134.Platz: 289 mit 0.03908045977011487
135.Platz: 413 mit 0.03840126836642521
136.Platz: 144 mit 0.03836514362830157
137.Platz: 54 mit 0.037783730438460394
138.Platz: 106 mit 0.037203047960555735
139.Platz: 104 mit 0.037203047960555735
140.Platz: 252 mit 0.03699402786994033
141.Platz: 150 mit 0.03629265471370746
