abgeschlossen in 1.956097706158956 Minuten
wurde auf die 2-Nachbarschaft jedes Knotens angewendet.
1.Platz: 55 mit 0.010845398323200417
2.Platz: 77 mit 0.010732326237960721
3.Platz: 74 mit 0.010732326237960721
4.Platz: 73 mit 0.010732326237960721
5.Platz: 70 mit 0.010732326237960721
6.Platz: 69 mit 0.010732326237960721
7.Platz: 68 mit 0.010732326237960721
8.Platz: 67 mit 0.010732326237960721
9.Platz: 65 mit 0.010732326237960721
10.Platz: 64 mit 0.010732326237960721
11.Platz: 63 mit 0.010732326237960721
12.Platz: 62 mit 0.010732326237960721
13.Platz: 61 mit 0.010732326237960721
14.Platz: 60 mit 0.010732326237960721
15.Platz: 58 mit 0.010732326237960721
16.Platz: 57 mit 0.010732326237960721
17.Platz: 56 mit 0.010732326237960721
18.Platz: 54 mit 0.010732326237960721
19.Platz: 52 mit 0.010732326237960721
20.Platz: 51 mit 0.010732326237960721
21.Platz: 50 mit 0.010732326237960721
22.Platz: 49 mit 0.010732326237960721
23.Platz: 48 mit 0.010732326237960721
24.Platz: 47 mit 0.010732326237960721
25.Platz: 46 mit 0.010732326237960721
26.Platz: 45 mit 0.010732326237960721
27.Platz: 44 mit 0.010732326237960721
28.Platz: 43 mit 0.010732326237960721
29.Platz: 42 mit 0.010732326237960721
30.Platz: 41 mit 0.010732326237960721
31.Platz: 40 mit 0.010732326237960721
32.Platz: 38 mit 0.010732326237960721
33.Platz: 37 mit 0.010732326237960721
34.Platz: 36 mit 0.010732326237960721
35.Platz: 35 mit 0.010732326237960721
36.Platz: 34 mit 0.010732326237960721
37.Platz: 33 mit 0.010732326237960721
38.Platz: 32 mit 0.010732326237960721
39.Platz: 31 mit 0.010732326237960721
40.Platz: 30 mit 0.010732326237960721
41.Platz: 29 mit 0.010732326237960721
42.Platz: 28 mit 0.010732326237960721
43.Platz: 27 mit 0.010732326237960721
44.Platz: 26 mit 0.010732326237960721
45.Platz: 24 mit 0.010732326237960721
46.Platz: 23 mit 0.010732326237960721
47.Platz: 22 mit 0.010732326237960721
48.Platz: 21 mit 0.010732326237960721
49.Platz: 20 mit 0.010732326237960721
50.Platz: 18 mit 0.010732326237960721
51.Platz: 16 mit 0.010732326237960721
52.Platz: 15 mit 0.010732326237960721
53.Platz: 14 mit 0.010732326237960721
54.Platz: 13 mit 0.010732326237960721
55.Platz: 12 mit 0.010732326237960721
56.Platz: 11 mit 0.010732326237960721
57.Platz: 10 mit 0.010732326237960721
58.Platz: 9 mit 0.010732326237960721
59.Platz: 8 mit 0.010732326237960721
60.Platz: 7 mit 0.010732326237960721
61.Platz: 6 mit 0.010732326237960721
62.Platz: 5 mit 0.010732326237960721
63.Platz: 4 mit 0.010732326237960721
64.Platz: 2 mit 0.010732326237960721
65.Platz: 1 mit 0.010732326237960721
66.Platz: 0 mit 0.010732326237960721
67.Platz: 39 mit 0.010619254152721136
68.Platz: 25 mit 0.010619254152721136
69.Platz: 3 mit 0.010619254152721136
70.Platz: 75 mit 0.010506182067481329
71.Platz: 71 mit 0.010506182067481329
72.Platz: 59 mit 0.010506182067481329
73.Platz: 80 mit 0.010393109982241633
74.Platz: 79 mit 0.010393109982241633
75.Platz: 76 mit 0.010393109982241633
76.Platz: 66 mit 0.010393109982241633
77.Platz: 53 mit 0.010393109982241633
78.Platz: 88 mit 0.010280037897002048
79.Platz: 87 mit 0.010280037897002048
80.Platz: 86 mit 0.010280037897002048
81.Platz: 84 mit 0.010280037897002048
82.Platz: 83 mit 0.010280037897002048
83.Platz: 82 mit 0.010280037897002048
84.Platz: 91 mit 0.01016696581176224
85.Platz: 90 mit 0.01016696581176224
86.Platz: 85 mit 0.01016696581176224
87.Platz: 89 mit 0.010053893726522545
88.Platz: 92 mit 0.009827749556043264
89.Platz: 81 mit 0.009714677470803457
90.Platz: 93 mit 0.009488533300324176
91.Platz: 17 mit 0.009262389129844784
92.Platz: 94 mit 0.008923172874125695
93.Platz: 78 mit 0.008923172874125695
94.Platz: 72 mit 0.008923172874125695
95.Platz: 19 mit 0.008923172874125695
