abgeschlossen in 26.78198396364848 Minuten
wurde auf die 4-Nachbarschaft jedes Knotens angewendet.
1.Platz: 925 mit 0.4285714285714286
2.Platz: 1033 mit 0.3999999999999999
3.Platz: 1870 mit 0.33333333333333337
4.Platz: 1869 mit 0.33333333333333337
5.Platz: 1867 mit 0.33333333333333337
6.Platz: 1866 mit 0.33333333333333337
7.Platz: 1716 mit 0.33333333333333337
8.Platz: 1715 mit 0.33333333333333337
9.Platz: 1673 mit 0.33333333333333337
10.Platz: 1672 mit 0.33333333333333337
11.Platz: 1517 mit 0.33333333333333337
12.Platz: 1516 mit 0.33333333333333337
13.Platz: 1461 mit 0.33333333333333337
14.Platz: 1460 mit 0.33333333333333337
15.Platz: 1300 mit 0.33333333333333337
16.Platz: 1265 mit 0.33333333333333337
17.Platz: 1147 mit 0.33333333333333337
18.Platz: 1146 mit 0.33333333333333337
19.Platz: 1067 mit 0.33333333333333337
20.Platz: 1066 mit 0.33333333333333337
21.Platz: 1053 mit 0.33333333333333337
22.Platz: 1052 mit 0.33333333333333337
23.Platz: 1021 mit 0.33333333333333337
24.Platz: 1020 mit 0.33333333333333337
25.Platz: 415 mit 0.33333333333333337
26.Platz: 414 mit 0.33333333333333337
27.Platz: 193 mit 0.33333333333333337
28.Platz: 192 mit 0.33333333333333337
29.Platz: 100 mit 0.22838536122113562
30.Platz: 62 mit 0.17366992948514515
31.Platz: 5 mit 0.1035315192347055
32.Platz: 353 mit 0.10166736497321105
33.Platz: 1888 mit 0.10000000000000009
34.Platz: 1032 mit 0.10000000000000009
35.Platz: 16 mit 0.0990945408062105
36.Platz: 341 mit 0.07578347424321652
37.Platz: 49 mit 0.07048721777549416
38.Platz: 840 mit 0.06985128436232546
39.Platz: 4 mit 0.05254546914507796
40.Platz: 1621 mit 0.04761904761904767
41.Platz: 1620 mit 0.04761904761904767
42.Platz: 926 mit 0.04761904761904767
43.Platz: 182 mit 0.04749971159509869
44.Platz: 3 mit 0.03697749345899415
45.Platz: 41 mit 0.036271112552287654
46.Platz: 322 mit 0.025439689512081753
47.Platz: 321 mit 0.02095164552561468
48.Platz: 36 mit 0.018742838004968232
49.Platz: 84 mit 0.01678142272984151
50.Platz: 437 mit 0.015115662506060334
51.Platz: 407 mit 0.012386030109109103
52.Platz: 392 mit 0.011553751924786582
53.Platz: 63 mit 0.010887661938155047
54.Platz: 86 mit 0.010344434208848674
55.Platz: 77 mit 0.008660576235988593
56.Platz: 359 mit 0.008420368609940998
57.Platz: 483 mit 0.008172371833095271
58.Platz: 386 mit 0.007977310281355954
59.Platz: 383 mit 0.006828047858167152
60.Platz: 439 mit 0.006759233958256505
61.Platz: 406 mit 0.0064206431665791985
62.Platz: 344 mit 0.0061012898209726885
63.Platz: 357 mit 0.005894200465656918
64.Platz: 370 mit 0.005890902479314231
65.Platz: 923 mit 0.005849146213030898
66.Platz: 598 mit 0.005832490048734096
67.Platz: 679 mit 0.0058009659057808305
68.Platz: 26 mit 0.005492972268695495
69.Platz: 85 mit 0.005323582386252856
70.Platz: 25 mit 0.004943702902423297
71.Platz: 280 mit 0.004896995491303513
72.Platz: 454 mit 0.004886600413319009
73.Platz: 354 mit 0.0047896561413981464
74.Platz: 1193 mit 0.004788876744058479
75.Platz: 74 mit 0.004739458887149106
76.Platz: 329 mit 0.004692818839030055
77.Platz: 283 mit 0.004650719989907848
78.Platz: 170 mit 0.004630364005041687
79.Platz: 438 mit 0.004612855438519303
80.Platz: 325 mit 0.00448790930526255
81.Platz: 841 mit 0.004438466040314504
82.Platz: 372 mit 0.00433673043345717
83.Platz: 793 mit 0.004290089340417302
84.Platz: 83 mit 0.004289705823817491
85.Platz: 683 mit 0.004240084058462323
86.Platz: 35 mit 0.004189326005873739
87.Platz: 1194 mit 0.004140367953225033
88.Platz: 76 mit 0.0040858907836116565
89.Platz: 204 mit 0.004031906414697639
90.Platz: 198 mit 0.003921173037228831
91.Platz: 417 mit 0.003809513206112669
92.Platz: 238 mit 0.0037950591139377376
93.Platz: 71 mit 0.0037305644452411135
94.Platz: 860 mit 0.00372894698960069
95.Platz: 375 mit 0.0036941899192097782
96.Platz: 589 mit 0.003613869877630016
97.Platz: 38 mit 0.003527710747940782
98.Platz: 463 mit 0.0035172193421292297
99.Platz: 194 mit 0.003442933233088308
100.Platz: 434 mit 0.0034018794580269462
101.Platz: 431 mit 0.0033839204920708132
102.Platz: 1007 mit 0.0033733405643092684
103.Platz: 1597 mit 0.0033697923917995753
104.Platz: 11 mit 0.003266401761761295
105.Platz: 34 mit 0.0031749263629827773
106.Platz: 433 mit 0.003170996864589326
107.Platz: 1045 mit 0.003127546153438465
108.Platz: 403 mit 0.003119002523757519
109.Platz: 394 mit 0.003097879822794636
110.Platz: 376 mit 0.0030932326383289466
111.Platz: 515 mit 0.003070716047313349
112.Platz: 391 mit 0.00304493500682379
113.Platz: 591 mit 0.0030439454293395007
114.Platz: 400 mit 0.0029874043306654663
115.Platz: 342 mit 0.002984142202224982
116.Platz: 535 mit 0.002977641231232231
117.Platz: 1080 mit 0.0029117736912135372
118.Platz: 1241 mit 0.0029016794482298325
119.Platz: 388 mit 0.002886057317153745
120.Platz: 183 mit 0.002886056682629423
121.Platz: 699 mit 0.002878383053661282
122.Platz: 731 mit 0.0028736330249142794
123.Platz: 67 mit 0.002827404543175094
124.Platz: 13 mit 0.0028077677915642196
125.Platz: 571 mit 0.002806892010912332
126.Platz: 397 mit 0.002797287539860416
127.Platz: 148 mit 0.0027904444702041564
128.Platz: 468 mit 0.002754489773788449
129.Platz: 72 mit 0.002726748421532643
130.Platz: 1109 mit 0.002704274447102306
131.Platz: 1198 mit 0.002693993783153381
132.Platz: 0 mit 0.00269385540347189
133.Platz: 421 mit 0.0026756699754952873
134.Platz: 356 mit 0.0026729084996487407
135.Platz: 1421 mit 0.0026439329225126373
136.Platz: 161 mit 0.002635642925476245
137.Platz: 869 mit 0.0026160370028318614
138.Platz: 135 mit 0.0026078194158890566
139.Platz: 863 mit 0.0025880654947697534
140.Platz: 1201 mit 0.0025843750610766714
141.Platz: 28 mit 0.002572607410020078
142.Platz: 365 mit 0.0025584385366641538
143.Platz: 362 mit 0.0025487951664034947
144.Platz: 703 mit 0.002528976406365735
145.Platz: 617 mit 0.0025265627466137808
146.Platz: 1114 mit 0.0025225894967766394
147.Platz: 455 mit 0.002507038900120162
148.Platz: 447 mit 0.0025036433215072096
149.Platz: 385 mit 0.002503305028067837
150.Platz: 73 mit 0.002497880256391305
151.Platz: 612 mit 0.0024913326015356674
152.Platz: 467 mit 0.0024861607669784958
153.Platz: 464 mit 0.0024861607669784958
154.Platz: 79 mit 0.002475219803904749
155.Platz: 125 mit 0.002440537713429669
156.Platz: 227 mit 0.0024077495070350396
157.Platz: 723 mit 0.0024060510208256947
158.Platz: 441 mit 0.0023936381481137747
159.Platz: 537 mit 0.0023914061627200445
160.Platz: 786 mit 0.0023903988863650527
161.Platz: 226 mit 0.0023862792237443475
162.Platz: 1881 mit 0.002376604779436131
163.Platz: 166 mit 0.0023668716477607266
164.Platz: 1399 mit 0.00235858528909183
165.Platz: 380 mit 0.0023528619169200793
166.Platz: 436 mit 0.002348043886195028
167.Platz: 1665 mit 0.002343231866101636
168.Platz: 558 mit 0.002343231866101636
169.Platz: 351 mit 0.002340036360321651
170.Platz: 373 mit 0.002315923681361687
171.Platz: 1350 mit 0.0023125261013424714
172.Platz: 720 mit 0.0023084866909099944
173.Platz: 476 mit 0.0022915282073577847
174.Platz: 576 mit 0.0022908084561155118
175.Platz: 692 mit 0.002283515833727212
176.Platz: 366 mit 0.002271443705563314
177.Platz: 401 mit 0.002268189339085569
178.Platz: 807 mit 0.0022633077893688958
179.Platz: 432 mit 0.0022521482174097107
180.Platz: 37 mit 0.0022499505789225216
181.Platz: 384 mit 0.0022489496600063275
182.Platz: 493 mit 0.002242154407263719
183.Platz: 409 mit 0.0022359996380406644
184.Platz: 1437 mit 0.0022356456743082287
185.Platz: 497 mit 0.0022307641245915555
186.Platz: 909 mit 0.00222100102515832
187.Platz: 641 mit 0.00221814856188729
188.Platz: 393 mit 0.002217496803566421
189.Platz: 444 mit 0.0022155026879643325
190.Platz: 1705 mit 0.0022154971241002963
191.Platz: 340 mit 0.0022117500924367928
192.Platz: 1442 mit 0.002201979230153306
193.Platz: 546 mit 0.0022014748262919603
194.Platz: 658 mit 0.0021997580322660193
195.Platz: 358 mit 0.002199097584847154
196.Platz: 92 mit 0.0021969549975734415
197.Platz: 555 mit 0.002196495500525919
198.Platz: 554 mit 0.0021950430908550533
199.Platz: 1246 mit 0.002193432343298052
200.Platz: 560 mit 0.0021910302360917955
201.Platz: 1619 mit 0.002189686130066315
202.Platz: 1018 mit 0.0021827081561446304
203.Platz: 611 mit 0.0021754398944699993
204.Platz: 120 mit 0.002168696976418638
205.Platz: 631 mit 0.002167766741406285
206.Platz: 369 mit 0.0021610758321463086
207.Platz: 696 mit 0.002159704901544268
208.Platz: 726 mit 0.0021575408788424566
209.Platz: 563 mit 0.0021526593291258944
210.Platz: 639 mit 0.002151740923387435
211.Platz: 865 mit 0.0021494814420890407
212.Platz: 473 mit 0.0021294852248016083
213.Platz: 1079 mit 0.0021232262611867725
214.Platz: 880 mit 0.00212174284758726
