abgeschlossen in 0.12333776950836181 Minuten
wurde auf die 2-Nachbarschaft jedes Knotens angewendet.
1.Platz: 7 mit 0.017820301217247647
2.Platz: 9 mit 0.016079533732205387
3.Platz: 8 mit 0.015886115122756284
4.Platz: 44 mit 0.015718726739349265
5.Platz: 37 mit 0.015305859294408752
6.Platz: 34 mit 0.015305859294408752
7.Platz: 33 mit 0.015305859294408752
8.Platz: 32 mit 0.015305859294408752
9.Platz: 30 mit 0.015305859294408752
10.Platz: 28 mit 0.015305859294408752
11.Platz: 26 mit 0.015305859294408752
12.Platz: 21 mit 0.015305859294408752
13.Platz: 20 mit 0.015305859294408752
14.Platz: 19 mit 0.015305859294408752
15.Platz: 17 mit 0.015305859294408752
16.Platz: 16 mit 0.015305859294408752
17.Platz: 12 mit 0.015305859294408752
18.Platz: 11 mit 0.015305859294408752
19.Platz: 10 mit 0.015305859294408752
20.Platz: 5 mit 0.015305859294408752
21.Platz: 4 mit 0.015305859294408752
22.Platz: 1 mit 0.015305859294408752
23.Platz: 0 mit 0.015305859294408752
24.Platz: 46 mit 0.01511244068495965
25.Platz: 45 mit 0.01511244068495965
26.Platz: 15 mit 0.01511244068495965
27.Platz: 27 mit 0.014919022075510546
28.Platz: 50 mit 0.014725603466061443
29.Platz: 49 mit 0.014725603466061443
30.Platz: 48 mit 0.014725603466061443
31.Platz: 13 mit 0.014725603466061443
32.Platz: 3 mit 0.014725603466061443
33.Platz: 51 mit 0.014145347637714023
34.Platz: 23 mit 0.014145347637714023
35.Platz: 57 mit 0.013951929028264809
36.Platz: 53 mit 0.013951929028264809
37.Platz: 55 mit 0.013800220290226983
38.Platz: 54 mit 0.013758510418815706
39.Platz: 47 mit 0.013758510418815706
40.Platz: 52 mit 0.013565091809366492
41.Platz: 60 mit 0.013371673199917389
42.Platz: 59 mit 0.013371673199917389
43.Platz: 58 mit 0.013371673199917389
44.Platz: 22 mit 0.013371673199917389
45.Platz: 18 mit 0.013371673199917389
46.Platz: 61 mit 0.013178254590468175
47.Platz: 56 mit 0.012816227649146028
48.Platz: 39 mit 0.012791417371569969
49.Platz: 35 mit 0.012791417371569969
50.Platz: 24 mit 0.012791417371569969
51.Platz: 69 mit 0.01271044369710328
52.Platz: 68 mit 0.012620675784392743
53.Platz: 25 mit 0.012597998762120755
54.Platz: 64 mit 0.012404580152671763
55.Platz: 62 mit 0.012404580152671763
56.Platz: 43 mit 0.012211161543222548
57.Platz: 66 mit 0.012067868319884267
58.Platz: 67 mit 0.011824324324324231
59.Platz: 6 mit 0.011824324324324231
60.Platz: 2 mit 0.011824324324324231
61.Platz: 36 mit 0.01168349518725742
62.Platz: 63 mit 0.011630905714875128
63.Platz: 70 mit 0.011426218814496347
64.Platz: 31 mit 0.01126736427217312
65.Platz: 65 mit 0.011259259259259302
66.Platz: 71 mit 0.011205367043690462
67.Platz: 42 mit 0.011173670263656899
68.Platz: 38 mit 0.010890303770874854
69.Platz: 29 mit 0.010890303770874854
70.Platz: 72 mit 0.010598247948547357
71.Platz: 40 mit 0.01021433355659751
72.Platz: 41 mit 0.01021331039198814
73.Platz: 73 mit 0.009890138229832868
74.Platz: 74 mit 0.009309882401485448
75.Platz: 14 mit 0.008536207963688813
