abgeschlossen in 0.07088066736857096 Minuten
wurde auf die 4-Nachbarschaft jedes Knotens angewendet.
1.Platz: 37 mit 0.01596586101607622
2.Platz: 65 mit 0.012218771185772637
3.Platz: 6 mit 0.012218771185772637
4.Platz: 19 mit 0.012097897320278994
5.Platz: 27 mit 0.011977023454785352
6.Platz: 16 mit 0.011735275723797955
7.Platz: 9 mit 0.011735275723797955
8.Platz: 58 mit 0.011614401858304313
9.Platz: 43 mit 0.011614401858304313
10.Platz: 5 mit 0.011614401858304313
11.Platz: 2 mit 0.011614401858304313
12.Platz: 79 mit 0.01149352799281067
13.Platz: 46 mit 0.01149352799281067
14.Platz: 40 mit 0.01149352799281067
15.Platz: 35 mit 0.01149352799281067
16.Platz: 15 mit 0.01149352799281067
17.Platz: 34 mit 0.011372654127317028
18.Platz: 31 mit 0.011372654127317028
19.Platz: 28 mit 0.011372654127317028
20.Platz: 10 mit 0.011372654127317028
21.Platz: 67 mit 0.011251780261823274
22.Platz: 63 mit 0.011251780261823274
23.Platz: 30 mit 0.011251780261823274
24.Platz: 29 mit 0.011251780261823274
25.Platz: 23 mit 0.011251780261823274
26.Platz: 20 mit 0.011251780261823274
27.Platz: 14 mit 0.011251780261823274
28.Platz: 4 mit 0.011251780261823274
29.Platz: 68 mit 0.011130906396329632
30.Platz: 66 mit 0.011130906396329632
31.Platz: 62 mit 0.011130906396329632
32.Platz: 61 mit 0.011130906396329632
33.Platz: 59 mit 0.011130906396329632
34.Platz: 57 mit 0.011130906396329632
35.Platz: 55 mit 0.011130906396329632
36.Platz: 54 mit 0.011130906396329632
37.Platz: 52 mit 0.011130906396329632
38.Platz: 51 mit 0.011130906396329632
39.Platz: 48 mit 0.011130906396329632
40.Platz: 47 mit 0.011130906396329632
41.Platz: 44 mit 0.011130906396329632
42.Platz: 42 mit 0.011130906396329632
43.Platz: 41 mit 0.011130906396329632
44.Platz: 39 mit 0.011130906396329632
45.Platz: 38 mit 0.011130906396329632
46.Platz: 36 mit 0.011130906396329632
47.Platz: 33 mit 0.011130906396329632
48.Platz: 32 mit 0.011130906396329632
49.Platz: 26 mit 0.011130906396329632
50.Platz: 25 mit 0.011130906396329632
51.Platz: 24 mit 0.011130906396329632
52.Platz: 22 mit 0.011130906396329632
53.Platz: 18 mit 0.011130906396329632
54.Platz: 13 mit 0.011130906396329632
55.Platz: 12 mit 0.011130906396329632
56.Platz: 8 mit 0.011130906396329632
57.Platz: 7 mit 0.011130906396329632
58.Platz: 81 mit 0.01101003253083599
59.Platz: 78 mit 0.01101003253083599
60.Platz: 75 mit 0.01101003253083599
61.Platz: 73 mit 0.01101003253083599
62.Platz: 70 mit 0.01101003253083599
63.Platz: 56 mit 0.01101003253083599
64.Platz: 53 mit 0.01101003253083599
65.Platz: 11 mit 0.01101003253083599
66.Platz: 83 mit 0.010889158665342347
67.Platz: 82 mit 0.010889158665342347
68.Platz: 80 mit 0.010889158665342347
69.Platz: 72 mit 0.010889158665342347
70.Platz: 69 mit 0.010889158665342347
71.Platz: 50 mit 0.010889158665342347
72.Platz: 49 mit 0.010889158665342347
73.Platz: 1 mit 0.010889158665342347
74.Platz: 86 mit 0.010768284799848704
75.Platz: 84 mit 0.010768284799848704
76.Platz: 77 mit 0.010768284799848704
77.Platz: 76 mit 0.010768284799848704
78.Platz: 0 mit 0.010768284799848704
79.Platz: 45 mit 0.010526537068861308
80.Platz: 17 mit 0.010526537068861308
81.Platz: 87 mit 0.010405663203367665
82.Platz: 85 mit 0.010405663203367665
83.Platz: 71 mit 0.010405663203367665
84.Platz: 3 mit 0.010405663203367665
85.Platz: 64 mit 0.010284789337874023
86.Platz: 21 mit 0.010284789337874023
87.Platz: 90 mit 0.01016391547238027
88.Platz: 89 mit 0.01016391547238027
89.Platz: 88 mit 0.01016391547238027
90.Platz: 91 mit 0.00883430295195009
91.Platz: 74 mit 0.008471681355469052
92.Platz: 60 mit 0.006900321104051366
