abgeschlossen in 2.714812191327413 Minuten
wurde auf die 2-Nachbarschaft jedes Knotens angewendet.
1.Platz: 83 mit 0.9745129524940792
2.Platz: 138 mit 0.9607761245975811
3.Platz: 1012 mit 0.9600995402589734
4.Platz: 32 mit 0.9579256360078278
5.Platz: 1323 mit 0.9532624806837176
6.Platz: 315 mit 0.9477732793522267
7.Platz: 529 mit 0.9450873878129429
8.Platz: 3344 mit 0.9362139917695473
9.Platz: 1535 mit 0.9308176100628931
10.Platz: 3370 mit 0.9304347826086956
11.Platz: 30 mit 0.9302711676812396
12.Platz: 774 mit 0.9284865112025606
13.Platz: 580 mit 0.9274239816408492
14.Platz: 840 mit 0.9268044730599796
15.Platz: 45 mit 0.9265776699029127
16.Platz: 206 mit 0.9227309236947792
17.Platz: 115 mit 0.9198739898644022
18.Platz: 295 mit 0.918552036199095
19.Platz: 2861 mit 0.9134139637163277
20.Platz: 43 mit 0.9069177067907763
21.Platz: 0 mit 0.9007633587786259
22.Platz: 476 mit 0.9007283517669274
23.Platz: 2188 mit 0.8939393939393939
24.Platz: 2508 mit 0.8807097768278742
25.Platz: 147 mit 0.8804347826086957
26.Platz: 140 mit 0.8768965517241379
27.Platz: 243 mit 0.8725
28.Platz: 184 mit 0.8707692307692307
29.Platz: 715 mit 0.8665973665973665
30.Platz: 276 mit 0.8554465668559629
31.Platz: 325 mit 0.8541666666666666
32.Platz: 117 mit 0.8531211750305998
33.Platz: 596 mit 0.8476190476190476
34.Platz: 1672 mit 0.8265625
35.Platz: 438 mit 0.8260869565217391
36.Platz: 213 mit 0.820979020979021
37.Platz: 4068 mit 0.8205128205128205
38.Platz: 590 mit 0.8153523183643665
39.Platz: 1724 mit 0.813953488372093
40.Platz: 947 mit 0.8108108108108107
41.Platz: 1505 mit 0.8074074074074074
42.Platz: 308 mit 0.8041958041958042
43.Platz: 3481 mit 0.8034188034188035
44.Platz: 2574 mit 0.7941176470588235
45.Platz: 1512 mit 0.7925925925925925
46.Platz: 318 mit 0.7838270216222972
47.Platz: 695 mit 0.782608695652174
48.Platz: 2434 mit 0.7811447811447811
49.Platz: 241 mit 0.7721893491124261
50.Platz: 908 mit 0.7713919061368533
51.Platz: 39 mit 0.7685118619698059
52.Platz: 1889 mit 0.7644628099173554
53.Platz: 2585 mit 0.7619047619047619
54.Platz: 783 mit 0.7551020408163266
55.Platz: 2251 mit 0.75
56.Platz: 311 mit 0.75
57.Platz: 177 mit 0.75
58.Platz: 25 mit 0.743421052631579
59.Platz: 1125 mit 0.7426470588235294
60.Platz: 2920 mit 0.736842105263158
61.Platz: 2208 mit 0.736842105263158
62.Platz: 2152 mit 0.736842105263158
63.Platz: 4596 mit 0.7333333333333334
64.Platz: 1517 mit 0.7333333333333334
65.Platz: 1147 mit 0.7293233082706767
66.Platz: 3511 mit 0.7286184210526316
67.Platz: 1367 mit 0.7171717171717171
68.Platz: 3565 mit 0.7142857142857143
69.Platz: 2516 mit 0.7142857142857143
70.Platz: 2137 mit 0.7142857142857143
71.Platz: 1313 mit 0.7142857142857143
72.Platz: 631 mit 0.708565318387965
73.Platz: 1498 mit 0.7083333333333333
74.Platz: 401 mit 0.7083333333333333
75.Platz: 1621 mit 0.703896103896104
76.Platz: 2991 mit 0.6923076923076923
77.Platz: 1661 mit 0.6923076923076923
78.Platz: 1315 mit 0.6923076923076923
79.Platz: 516 mit 0.6923076923076923
80.Platz: 510 mit 0.6923076923076923
81.Platz: 1534 mit 0.6883116883116884
82.Platz: 10 mit 0.6875
83.Platz: 41 mit 0.6867902775643496
84.Platz: 3178 mit 0.676923076923077
85.Platz: 1568 mit 0.676923076923077
86.Platz: 852 mit 0.6769094269094269
87.Platz: 7 mit 0.6680774222673664
88.Platz: 149 mit 0.6666666666666667
89.Platz: 2298 mit 0.6574900526938381
90.Platz: 3569 mit 0.6499999999999999
91.Platz: 942 mit 0.6499999999999999
92.Platz: 4122 mit 0.625
93.Platz: 4089 mit 0.625
94.Platz: 3262 mit 0.625
95.Platz: 3135 mit 0.625
96.Platz: 2903 mit 0.625
97.Platz: 2423 mit 0.625
98.Platz: 2227 mit 0.625
99.Platz: 2021 mit 0.625
100.Platz: 1997 mit 0.625
101.Platz: 1926 mit 0.625
102.Platz: 1822 mit 0.625
103.Platz: 1679 mit 0.625
104.Platz: 1584 mit 0.625
105.Platz: 900 mit 0.625
106.Platz: 796 mit 0.625
107.Platz: 338 mit 0.625
108.Platz: 532 mit 0.6109756097560975
109.Platz: 1317 mit 0.6068376068376069
110.Platz: 2678 mit 0.6052631578947368
111.Platz: 3787 mit 0.6028477536309794
112.Platz: 957 mit 0.6000000000000001
113.Platz: 352 mit 0.6000000000000001
114.Platz: 88 mit 0.5958627717391305
115.Platz: 2745 mit 0.5842391304347827
116.Platz: 1808 mit 0.5833333333333334
117.Platz: 639 mit 0.5734958111195735
118.Platz: 269 mit 0.5730534209795389
119.Platz: 194 mit 0.5714662447257384
120.Platz: 2143 mit 0.5679012345679013
121.Platz: 3869 mit 0.5634920634920635
122.Platz: 878 mit 0.5537311715905862
123.Platz: 239 mit 0.5454861111111111
124.Platz: 995 mit 0.5443683589138135
125.Platz: 489 mit 0.5396713624605907
126.Platz: 1709 mit 0.5375494071146245
127.Platz: 246 mit 0.5306707239761633
128.Platz: 412 mit 0.53
129.Platz: 599 mit 0.5292140179687035
130.Platz: 1229 mit 0.5183410138248847
131.Platz: 125 mit 0.5102040816326532
132.Platz: 4498 mit 0.5
133.Platz: 4497 mit 0.5
134.Platz: 4457 mit 0.5
135.Platz: 4456 mit 0.5
136.Platz: 4400 mit 0.5
137.Platz: 4399 mit 0.5
138.Platz: 4332 mit 0.5
139.Platz: 4331 mit 0.5
140.Platz: 4113 mit 0.5
141.Platz: 4112 mit 0.5
142.Platz: 4052 mit 0.5
143.Platz: 4051 mit 0.5
144.Platz: 4043 mit 0.5
145.Platz: 4042 mit 0.5
146.Platz: 3811 mit 0.5
147.Platz: 3810 mit 0.5
148.Platz: 3775 mit 0.5
149.Platz: 3774 mit 0.5
150.Platz: 3708 mit 0.5
151.Platz: 3707 mit 0.5
152.Platz: 3597 mit 0.5
153.Platz: 3596 mit 0.5
154.Platz: 3216 mit 0.5
155.Platz: 3215 mit 0.5
156.Platz: 3176 mit 0.5
157.Platz: 3175 mit 0.5
158.Platz: 3029 mit 0.5
159.Platz: 3028 mit 0.5
160.Platz: 3020 mit 0.5
161.Platz: 3019 mit 0.5
162.Platz: 2881 mit 0.5
163.Platz: 2880 mit 0.5
164.Platz: 2852 mit 0.5
165.Platz: 2851 mit 0.5
166.Platz: 2765 mit 0.5
167.Platz: 2764 mit 0.5
168.Platz: 2594 mit 0.5
169.Platz: 2593 mit 0.5
170.Platz: 2559 mit 0.5
171.Platz: 2558 mit 0.5
172.Platz: 2380 mit 0.5
173.Platz: 2379 mit 0.5
174.Platz: 2341 mit 0.5
175.Platz: 2340 mit 0.5
176.Platz: 2256 mit 0.5
177.Platz: 2255 mit 0.5
178.Platz: 2239 mit 0.5
179.Platz: 2238 mit 0.5
180.Platz: 2082 mit 0.5
181.Platz: 2081 mit 0.5
182.Platz: 1657 mit 0.5
183.Platz: 1656 mit 0.5
184.Platz: 1633 mit 0.5
185.Platz: 1632 mit 0.5
186.Platz: 1571 mit 0.5
187.Platz: 1570 mit 0.5
188.Platz: 1558 mit 0.5
189.Platz: 1557 mit 0.5
190.Platz: 1504 mit 0.5
191.Platz: 1503 mit 0.5
192.Platz: 1486 mit 0.5
193.Platz: 1485 mit 0.5
194.Platz: 1378 mit 0.5
195.Platz: 1377 mit 0.5
196.Platz: 1309 mit 0.5
197.Platz: 1308 mit 0.5
198.Platz: 1192 mit 0.5
199.Platz: 1191 mit 0.5
200.Platz: 1082 mit 0.5
201.Platz: 1081 mit 0.5
202.Platz: 1044 mit 0.5
203.Platz: 1043 mit 0.5
204.Platz: 893 mit 0.5
205.Platz: 892 mit 0.5
206.Platz: 884 mit 0.5
207.Platz: 883 mit 0.5
208.Platz: 732 mit 0.5
209.Platz: 731 mit 0.5
210.Platz: 462 mit 0.5
211.Platz: 461 mit 0.5
212.Platz: 112 mit 0.5
213.Platz: 111 mit 0.5
214.Platz: 78 mit 0.5
215.Platz: 77 mit 0.5
216.Platz: 514 mit 0.4989725286610426
217.Platz: 3401 mit 0.4977678571428571
218.Platz: 427 mit 0.4947106162245605
219.Platz: 96 mit 0.4865672885611009
220.Platz: 3284 mit 0.4826203208556149
221.Platz: 114 mit 0.47668687021320055
222.Platz: 67 mit 0.4669585391408473
223.Platz: 611 mit 0.46289265003467983
224.Platz: 634 mit 0.4598302999716115
225.Platz: 1370 mit 0.45833333333333326
226.Platz: 126 mit 0.4546704871060172
227.Platz: 3342 mit 0.45087140814205906
228.Platz: 4149 mit 0.44917102966841194
229.Platz: 2125 mit 0.44525657828410126
230.Platz: 1101 mit 0.4448979591836735
231.Platz: 4118 mit 0.4444444444444444
232.Platz: 1008 mit 0.4444444444444444
233.Platz: 144 mit 0.4285714285714286
234.Platz: 161 mit 0.4279338278655451
235.Platz: 53 mit 0.42371786859975824
236.Platz: 211 mit 0.41468263686634443
237.Platz: 1806 mit 0.4107402031930334
238.Platz: 11 mit 0.4027522935779816
239.Platz: 2489 mit 0.3978494623655914
240.Platz: 512 mit 0.3962629264100388
241.Platz: 15 mit 0.39603203419251665
242.Platz: 121 mit 0.38443396226415094
243.Platz: 2817 mit 0.37391304347826093
244.Platz: 75 mit 0.3730766945880116
245.Platz: 617 mit 0.37288090946111807
246.Platz: 396 mit 0.3728301414966554
247.Platz: 1691 mit 0.3682560137457045
248.Platz: 217 mit 0.3634829254434705
249.Platz: 2847 mit 0.3620327441321356
250.Platz: 129 mit 0.36067664059843596
251.Platz: 27 mit 0.3597659301992021
252.Platz: 2951 mit 0.3538461538461539
253.Platz: 3324 mit 0.3537234042553191
254.Platz: 872 mit 0.3520950594121326
255.Platz: 2108 mit 0.3486842105263157
256.Platz: 1247 mit 0.3467261525387719
257.Platz: 1238 mit 0.3459164292497625
258.Platz: 209 mit 0.3415576323987538
259.Platz: 3134 mit 0.3382352941176471
260.Platz: 3995 mit 0.33753302174354816
261.Platz: 2802 mit 0.33333333333333337
262.Platz: 2729 mit 0.33333333333333337
263.Platz: 927 mit 0.33333333333333337
264.Platz: 280 mit 0.33333333333333337
265.Platz: 150 mit 0.33333333333333337
266.Platz: 2566 mit 0.3330094991364422
267.Platz: 3545 mit 0.3308823529411765
268.Platz: 2458 mit 0.32799999999999996
269.Platz: 1240 mit 0.3266
270.Platz: 551 mit 0.3231723294610883
271.Platz: 2933 mit 0.3202947038724373
272.Platz: 100 mit 0.3194161909704203
273.Platz: 4108 mit 0.3193000783494385
274.Platz: 299 mit 0.3166512028279421
275.Platz: 3204 mit 0.3120651425949996
276.Platz: 724 mit 0.30861742424242433
277.Platz: 433 mit 0.3055555555555556
278.Platz: 333 mit 0.29653919089759795
279.Platz: 535 mit 0.28927006068779504
280.Platz: 4597 mit 0.288888888888889
281.Platz: 2569 mit 0.288888888888889
282.Platz: 1518 mit 0.288888888888889
283.Platz: 196 mit 0.28888888888888886
284.Platz: 958 mit 0.2879464285714285
285.Platz: 1138 mit 0.28634642479746397
286.Platz: 13 mit 0.2856548041997893
287.Platz: 61 mit 0.2826369452219112
288.Platz: 1795 mit 0.2797101449275361
289.Platz: 1588 mit 0.2760381967577171
290.Platz: 98 mit 0.2749445200085905
291.Platz: 1907 mit 0.2714652641878669
292.Platz: 3449 mit 0.2695488721804511
293.Platz: 73 mit 0.2682843511233076
294.Platz: 867 mit 0.2543747721472839
295.Platz: 5 mit 0.2523420289308532
296.Platz: 2034 mit 0.25120772946859904
297.Platz: 4574 mit 0.25
298.Platz: 4552 mit 0.25
299.Platz: 4545 mit 0.25
300.Platz: 4493 mit 0.25
301.Platz: 4454 mit 0.25
302.Platz: 4440 mit 0.25
303.Platz: 4327 mit 0.25
304.Platz: 4215 mit 0.25
305.Platz: 4195 mit 0.25
306.Platz: 4172 mit 0.25
307.Platz: 4123 mit 0.25
308.Platz: 4119 mit 0.25
309.Platz: 4090 mit 0.25
310.Platz: 3979 mit 0.25
311.Platz: 3694 mit 0.25
312.Platz: 3492 mit 0.25
313.Platz: 3485 mit 0.25
314.Platz: 3425 mit 0.25
315.Platz: 3269 mit 0.25
316.Platz: 3263 mit 0.25
317.Platz: 3230 mit 0.25
318.Platz: 3136 mit 0.25
319.Platz: 3133 mit 0.25
320.Platz: 3055 mit 0.25
321.Platz: 2969 mit 0.25
322.Platz: 2950 mit 0.25
323.Platz: 2904 mit 0.25
324.Platz: 2842 mit 0.25
325.Platz: 2459 mit 0.25
326.Platz: 2424 mit 0.25
327.Platz: 2391 mit 0.25
328.Platz: 2228 mit 0.25
329.Platz: 2215 mit 0.25
330.Platz: 2203 mit 0.25
331.Platz: 2142 mit 0.25
332.Platz: 2117 mit 0.25
333.Platz: 2022 mit 0.25
334.Platz: 1998 mit 0.25
335.Platz: 1927 mit 0.25
336.Platz: 1823 mit 0.25
337.Platz: 1678 mit 0.25
338.Platz: 1585 mit 0.25
339.Platz: 1417 mit 0.25
340.Platz: 1009 mit 0.25
341.Platz: 901 mit 0.25
342.Platz: 797 mit 0.25
343.Platz: 793 mit 0.25
344.Platz: 739 mit 0.25
345.Platz: 493 mit 0.25
346.Platz: 393 mit 0.25
347.Platz: 339 mit 0.25
348.Platz: 313 mit 0.25
349.Platz: 312 mit 0.25
350.Platz: 198 mit 0.25
351.Platz: 145 mit 0.25
352.Platz: 3878 mit 0.24980257962621744
353.Platz: 1624 mit 0.24907846234860453
354.Platz: 664 mit 0.2484520995159294
355.Platz: 2044 mit 0.24336363636363645
356.Platz: 4205 mit 0.24278846153846145
357.Platz: 1079 mit 0.24266122634024712
358.Platz: 2354 mit 0.24193548387096775
359.Platz: 2418 mit 0.24103419516263558
360.Platz: 696 mit 0.23913043478260865
361.Platz: 4576 mit 0.23809523809523814
362.Platz: 4210 mit 0.23809523809523814
363.Platz: 3806 mit 0.23809523809523814
364.Platz: 3797 mit 0.23809523809523814
365.Platz: 3719 mit 0.23809523809523814
366.Platz: 3566 mit 0.23809523809523814
367.Platz: 2518 mit 0.23809523809523814
368.Platz: 2517 mit 0.23809523809523814
369.Platz: 2237 mit 0.23809523809523814
370.Platz: 2138 mit 0.23809523809523814
371.Platz: 1314 mit 0.23809523809523814
372.Platz: 2376 mit 0.23638955355795555
373.Platz: 734 mit 0.23554084616312132
374.Platz: 3329 mit 0.23301985370950884
375.Platz: 22 mit 0.23226918800118646
376.Platz: 1663 mit 0.23213054470236716
377.Platz: 1760 mit 0.23099078341013823
378.Platz: 2781 mit 0.22939068100358417
379.Platz: 1023 mit 0.22627568533887987
380.Platz: 2588 mit 0.22619047619047616
381.Platz: 1710 mit 0.22619047619047616
382.Platz: 873 mit 0.22619047619047616
383.Platz: 1360 mit 0.22598449340750804
384.Platz: 2932 mit 0.22580645161290325
385.Platz: 80 mit 0.22340159840159846
386.Platz: 1565 mit 0.2222222222222222
387.Platz: 1395 mit 0.2222222222222222
388.Platz: 868 mit 0.2222222222222222
