abgeschlossen in 74.1071268637975 Minuten
wurde auf die 4-Nachbarschaft jedes Knotens angewendet.
1.Platz: 1535 mit 0.9308176100628931
2.Platz: 3370 mit 0.9304347826086956
3.Platz: 0 mit 0.9007633587786259
4.Platz: 2188 mit 0.8939393939393939
5.Platz: 147 mit 0.8804347826086957
6.Platz: 325 mit 0.8541666666666666
7.Platz: 529 mit 0.8407480458762511
8.Platz: 438 mit 0.8260869565217391
9.Platz: 4068 mit 0.8205128205128205
10.Platz: 1724 mit 0.813953488372093
11.Platz: 947 mit 0.8108108108108107
12.Platz: 2574 mit 0.7941176470588235
13.Platz: 138 mit 0.7898296636243318
14.Platz: 695 mit 0.782608695652174
15.Platz: 2585 mit 0.7619047619047619
16.Platz: 783 mit 0.7551020408163266
17.Platz: 2251 mit 0.75
18.Platz: 311 mit 0.75
19.Platz: 177 mit 0.75
20.Platz: 25 mit 0.743421052631579
21.Platz: 2920 mit 0.736842105263158
22.Platz: 2208 mit 0.736842105263158
23.Platz: 2152 mit 0.736842105263158
24.Platz: 4596 mit 0.7333333333333334
25.Platz: 1517 mit 0.7333333333333334
26.Platz: 3565 mit 0.7142857142857143
27.Platz: 2516 mit 0.7142857142857143
28.Platz: 2137 mit 0.7142857142857143
29.Platz: 1313 mit 0.7142857142857143
30.Platz: 2991 mit 0.6923076923076923
31.Platz: 1661 mit 0.6923076923076923
32.Platz: 516 mit 0.6923076923076923
33.Platz: 510 mit 0.6923076923076923
34.Platz: 3178 mit 0.676923076923077
35.Platz: 149 mit 0.6666666666666667
36.Platz: 4122 mit 0.625
37.Platz: 4089 mit 0.625
38.Platz: 3262 mit 0.625
39.Platz: 3135 mit 0.625
40.Platz: 2903 mit 0.625
41.Platz: 2423 mit 0.625
42.Platz: 2227 mit 0.625
43.Platz: 2021 mit 0.625
44.Platz: 1997 mit 0.625
45.Platz: 1926 mit 0.625
46.Platz: 1822 mit 0.625
47.Platz: 1679 mit 0.625
48.Platz: 1584 mit 0.625
49.Platz: 900 mit 0.625
50.Platz: 796 mit 0.625
51.Platz: 338 mit 0.625
52.Platz: 352 mit 0.6000000000000001
53.Platz: 1498 mit 0.5930851063829787
54.Platz: 184 mit 0.5858250276854928
55.Platz: 4498 mit 0.5
56.Platz: 4497 mit 0.5
57.Platz: 4457 mit 0.5
58.Platz: 4456 mit 0.5
59.Platz: 4400 mit 0.5
60.Platz: 4399 mit 0.5
61.Platz: 4332 mit 0.5
62.Platz: 4331 mit 0.5
63.Platz: 4113 mit 0.5
64.Platz: 4112 mit 0.5
65.Platz: 4052 mit 0.5
66.Platz: 4051 mit 0.5
67.Platz: 4043 mit 0.5
68.Platz: 4042 mit 0.5
69.Platz: 3811 mit 0.5
70.Platz: 3810 mit 0.5
71.Platz: 3775 mit 0.5
72.Platz: 3774 mit 0.5
73.Platz: 3708 mit 0.5
74.Platz: 3707 mit 0.5
75.Platz: 3597 mit 0.5
76.Platz: 3596 mit 0.5
77.Platz: 3216 mit 0.5
78.Platz: 3215 mit 0.5
79.Platz: 3176 mit 0.5
80.Platz: 3175 mit 0.5
81.Platz: 3029 mit 0.5
82.Platz: 3028 mit 0.5
83.Platz: 3020 mit 0.5
84.Platz: 3019 mit 0.5
85.Platz: 2881 mit 0.5
86.Platz: 2880 mit 0.5
87.Platz: 2852 mit 0.5
88.Platz: 2851 mit 0.5
89.Platz: 2765 mit 0.5
90.Platz: 2764 mit 0.5
91.Platz: 2594 mit 0.5
92.Platz: 2593 mit 0.5
93.Platz: 2559 mit 0.5
94.Platz: 2558 mit 0.5
95.Platz: 2380 mit 0.5
96.Platz: 2379 mit 0.5
97.Platz: 2341 mit 0.5
98.Platz: 2340 mit 0.5
99.Platz: 2256 mit 0.5
100.Platz: 2255 mit 0.5
101.Platz: 2239 mit 0.5
102.Platz: 2238 mit 0.5
103.Platz: 2082 mit 0.5
104.Platz: 2081 mit 0.5
105.Platz: 1657 mit 0.5
106.Platz: 1656 mit 0.5
107.Platz: 1633 mit 0.5
108.Platz: 1632 mit 0.5
109.Platz: 1571 mit 0.5
110.Platz: 1570 mit 0.5
111.Platz: 1558 mit 0.5
112.Platz: 1557 mit 0.5
113.Platz: 1504 mit 0.5
114.Platz: 1503 mit 0.5
115.Platz: 1486 mit 0.5
116.Platz: 1485 mit 0.5
117.Platz: 1378 mit 0.5
118.Platz: 1377 mit 0.5
119.Platz: 1309 mit 0.5
120.Platz: 1308 mit 0.5
121.Platz: 1192 mit 0.5
122.Platz: 1191 mit 0.5
123.Platz: 1082 mit 0.5
124.Platz: 1081 mit 0.5
125.Platz: 1044 mit 0.5
126.Platz: 1043 mit 0.5
127.Platz: 893 mit 0.5
128.Platz: 892 mit 0.5
129.Platz: 884 mit 0.5
130.Platz: 883 mit 0.5
131.Platz: 732 mit 0.5
132.Platz: 731 mit 0.5
133.Platz: 462 mit 0.5
134.Platz: 461 mit 0.5
135.Platz: 112 mit 0.5
136.Platz: 111 mit 0.5
137.Platz: 78 mit 0.5
138.Platz: 77 mit 0.5
139.Platz: 2951 mit 0.3538461538461539
140.Platz: 3324 mit 0.3537234042553191
141.Platz: 2108 mit 0.3486842105263157
142.Platz: 927 mit 0.33333333333333337
143.Platz: 150 mit 0.33333333333333337
144.Platz: 2678 mit 0.32978723404255317
145.Platz: 4597 mit 0.288888888888889
146.Platz: 1518 mit 0.288888888888889
147.Platz: 4574 mit 0.25
148.Platz: 4454 mit 0.25
149.Platz: 4327 mit 0.25
150.Platz: 4215 mit 0.25
151.Platz: 4195 mit 0.25
152.Platz: 4123 mit 0.25
153.Platz: 4090 mit 0.25
154.Platz: 3979 mit 0.25
155.Platz: 3492 mit 0.25
156.Platz: 3485 mit 0.25
157.Platz: 3425 mit 0.25
158.Platz: 3269 mit 0.25
159.Platz: 3263 mit 0.25
160.Platz: 3230 mit 0.25
161.Platz: 3136 mit 0.25
162.Platz: 3055 mit 0.25
163.Platz: 2969 mit 0.25
164.Platz: 2904 mit 0.25
165.Platz: 2842 mit 0.25
166.Platz: 2424 mit 0.25
167.Platz: 2228 mit 0.25
168.Platz: 2203 mit 0.25
169.Platz: 2117 mit 0.25
170.Platz: 2022 mit 0.25
171.Platz: 1998 mit 0.25
172.Platz: 1927 mit 0.25
173.Platz: 1823 mit 0.25
174.Platz: 1678 mit 0.25
175.Platz: 1585 mit 0.25
176.Platz: 901 mit 0.25
177.Platz: 797 mit 0.25
178.Platz: 393 mit 0.25
179.Platz: 339 mit 0.25
180.Platz: 313 mit 0.25
181.Platz: 312 mit 0.25
182.Platz: 696 mit 0.23913043478260865
183.Platz: 3797 mit 0.23809523809523814
184.Platz: 3719 mit 0.23809523809523814
185.Platz: 3566 mit 0.23809523809523814
186.Platz: 2518 mit 0.23809523809523814
187.Platz: 2517 mit 0.23809523809523814
188.Platz: 2237 mit 0.23809523809523814
189.Platz: 2138 mit 0.23809523809523814
190.Platz: 1314 mit 0.23809523809523814
191.Platz: 2588 mit 0.22619047619047616
192.Platz: 3344 mit 0.2258869335792414
193.Platz: 4338 mit 0.2108843537414966
194.Platz: 4603 mit 0.20000000000000007
195.Platz: 4600 mit 0.20000000000000007
196.Platz: 3106 mit 0.20000000000000007
197.Platz: 3105 mit 0.20000000000000007
198.Platz: 1323 mit 0.1955451700355313
199.Platz: 4169 mit 0.1923076923076923
200.Platz: 3082 mit 0.1875
201.Platz: 2252 mit 0.1875
202.Platz: 179 mit 0.1875
203.Platz: 178 mit 0.1875
204.Platz: 3408 mit 0.1847826086956521
205.Platz: 913 mit 0.1847826086956521
206.Platz: 4441 mit 0.18367346938775508
207.Platz: 948 mit 0.18018018018018012
208.Platz: 3541 mit 0.17948717948717952
209.Platz: 3231 mit 0.17948717948717952
210.Platz: 2994 mit 0.17948717948717952
211.Platz: 2993 mit 0.17948717948717952
212.Platz: 2992 mit 0.17948717948717952
213.Platz: 2756 mit 0.17948717948717952
214.Platz: 2717 mit 0.17948717948717952
215.Platz: 2711 mit 0.17948717948717952
216.Platz: 2377 mit 0.17948717948717952
217.Platz: 1662 mit 0.17948717948717952
218.Platz: 517 mit 0.17948717948717952
219.Platz: 511 mit 0.17948717948717952
220.Platz: 1509 mit 0.17105263157894746
221.Platz: 3237 mit 0.16666666666666674
222.Platz: 2698 mit 0.16666666666666674
223.Platz: 1505 mit 0.15444883499114315
224.Platz: 774 mit 0.15082898819552726
225.Platz: 1244 mit 0.14930555555555558
226.Platz: 1215 mit 0.14930555555555558
227.Platz: 1195 mit 0.14930555555555558
228.Platz: 740 mit 0.14930555555555558
229.Platz: 4518 mit 0.14473684210526316
230.Platz: 4324 mit 0.14473684210526316
231.Platz: 4323 mit 0.14473684210526316
232.Platz: 4267 mit 0.14473684210526316
233.Platz: 3679 mit 0.14473684210526316
234.Platz: 3448 mit 0.14473684210526316
235.Platz: 2929 mit 0.14473684210526316
236.Platz: 2921 mit 0.14473684210526316
237.Platz: 2809 mit 0.14473684210526316
238.Platz: 2214 mit 0.14473684210526316
239.Platz: 2209 mit 0.14473684210526316
240.Platz: 2153 mit 0.14473684210526316
241.Platz: 4309 mit 0.1428571428571428
242.Platz: 4125 mit 0.1428571428571428
243.Platz: 3992 mit 0.1428571428571428
244.Platz: 3206 mit 0.1428571428571428
245.Platz: 140 mit 0.13536147641354734
246.Platz: 4173 mit 0.13247863247863245
247.Platz: 4087 mit 0.13247863247863245
248.Platz: 1681 mit 0.13157894736842113
249.Platz: 26 mit 0.13157894736842113
250.Platz: 4166 mit 0.13043478260869568
251.Platz: 450 mit 0.13043478260869568
252.Platz: 449 mit 0.13043478260869568
253.Platz: 439 mit 0.13043478260869568
254.Platz: 770 mit 0.12717391304347825
255.Platz: 4560 mit 0.125
256.Platz: 4373 mit 0.125
257.Platz: 3704 mit 0.125
258.Platz: 3346 mit 0.125
259.Platz: 2945 mit 0.125
260.Platz: 326 mit 0.125
261.Platz: 295 mit 0.12358734258960291
262.Platz: 1 mit 0.123409669211196
263.Platz: 4202 mit 0.1230769230769232
264.Platz: 4201 mit 0.1230769230769232
265.Platz: 3434 mit 0.1230769230769232
266.Platz: 2950 mit 0.1230769230769232
267.Platz: 32 mit 0.11857336967088439
