abgeschlossen in 0.2579130411148071 Minuten
wurde auf die 1-Nachbarschaft jedes Knotens angewendet.
1.Platz: 273 mit 0.5
2.Platz: 272 mit 0.5
3.Platz: 271 mit 0.5
4.Platz: 270 mit 0.5
5.Platz: 269 mit 0.5
6.Platz: 268 mit 0.5
7.Platz: 267 mit 0.5
8.Platz: 266 mit 0.5
9.Platz: 265 mit 0.5
10.Platz: 264 mit 0.5
11.Platz: 262 mit 0.5
12.Platz: 260 mit 0.5
13.Platz: 259 mit 0.5
14.Platz: 258 mit 0.5
15.Platz: 257 mit 0.5
16.Platz: 256 mit 0.5
17.Platz: 255 mit 0.5
18.Platz: 254 mit 0.5
19.Platz: 253 mit 0.5
20.Platz: 252 mit 0.5
21.Platz: 251 mit 0.5
22.Platz: 244 mit 0.5
23.Platz: 242 mit 0.5
24.Platz: 241 mit 0.5
25.Platz: 240 mit 0.5
26.Platz: 238 mit 0.5
27.Platz: 237 mit 0.5
28.Platz: 234 mit 0.5
29.Platz: 233 mit 0.5
30.Platz: 232 mit 0.5
31.Platz: 231 mit 0.5
32.Platz: 229 mit 0.5
33.Platz: 228 mit 0.5
34.Platz: 227 mit 0.5
35.Platz: 226 mit 0.5
36.Platz: 223 mit 0.5
37.Platz: 220 mit 0.5
38.Platz: 219 mit 0.5
39.Platz: 217 mit 0.5
40.Platz: 209 mit 0.5
41.Platz: 207 mit 0.5
42.Platz: 205 mit 0.5
43.Platz: 199 mit 0.5
44.Platz: 197 mit 0.5
45.Platz: 195 mit 0.5
46.Platz: 190 mit 0.5
47.Platz: 189 mit 0.5
48.Platz: 188 mit 0.5
49.Platz: 186 mit 0.5
50.Platz: 185 mit 0.5
51.Platz: 184 mit 0.5
52.Platz: 181 mit 0.5
53.Platz: 178 mit 0.5
54.Platz: 172 mit 0.5
55.Platz: 170 mit 0.5
56.Platz: 164 mit 0.5
57.Platz: 162 mit 0.5
58.Platz: 160 mit 0.5
59.Platz: 158 mit 0.5
60.Platz: 152 mit 0.5
61.Platz: 149 mit 0.5
62.Platz: 147 mit 0.5
