abgeschlossen in 0.03276918331782023 Minuten
wurde auf die 3-Nachbarschaft jedes Knotens angewendet.
1.Platz: 243 mit 0.5
2.Platz: 242 mit 0.5
3.Platz: 223 mit 0.5
4.Platz: 222 mit 0.5
5.Platz: 130 mit 0.5
6.Platz: 129 mit 0.5
7.Platz: 272 mit 0.4444444444444444
8.Platz: 82 mit 0.4444444444444444
9.Platz: 72 mit 0.4444444444444444
10.Platz: 307 mit 0.33333333333333337
11.Platz: 304 mit 0.33333333333333337
12.Platz: 2 mit 0.33333333333333337
13.Platz: 1 mit 0.33333333333333337
14.Platz: 0 mit 0.33333333333333337
15.Platz: 21 mit 0.32258064516129026
16.Platz: 99 mit 0.3042671614100185
17.Platz: 303 mit 0.25
18.Platz: 269 mit 0.2410714285714286
19.Platz: 271 mit 0.2222222222222222
20.Platz: 270 mit 0.2222222222222222
21.Platz: 85 mit 0.2222222222222222
22.Platz: 83 mit 0.2222222222222222
23.Platz: 74 mit 0.2222222222222222
24.Platz: 73 mit 0.2222222222222222
25.Platz: 415 mit 0.21255222269163965
26.Platz: 29 mit 0.19999999999999996
27.Platz: 28 mit 0.19999999999999996
28.Platz: 27 mit 0.19999999999999996
29.Platz: 26 mit 0.19999999999999996
30.Platz: 25 mit 0.19999999999999996
31.Platz: 312 mit 0.19354838709677413
32.Platz: 309 mit 0.19354838709677413
33.Platz: 298 mit 0.19354838709677413
34.Platz: 188 mit 0.18840579710144922
35.Platz: 302 mit 0.18181818181818177
36.Platz: 299 mit 0.18181818181818177
37.Platz: 13 mit 0.1785714285714286
38.Platz: 239 mit 0.17136695421366954
39.Platz: 133 mit 0.17100443416232902
40.Platz: 235 mit 0.1695006635700067
41.Platz: 8 mit 0.16888888888888887
42.Platz: 208 mit 0.16666666666666674
43.Platz: 207 mit 0.16666666666666674
44.Platz: 114 mit 0.16629314208874946
45.Platz: 286 mit 0.16551724137931034
46.Platz: 314 mit 0.1577060931899641
47.Platz: 381 mit 0.15702479338842978
48.Platz: 80 mit 0.1435185185185185
49.Platz: 77 mit 0.1435185185185185
50.Platz: 76 mit 0.1435185185185185
51.Platz: 31 mit 0.1432519576232152
52.Platz: 306 mit 0.1428571428571428
53.Platz: 305 mit 0.1428571428571428
54.Platz: 296 mit 0.14022988505747114
55.Platz: 294 mit 0.14022988505747114
56.Platz: 287 mit 0.14022988505747114
57.Platz: 7 mit 0.12698412698412698
58.Platz: 5 mit 0.12698412698412698
59.Platz: 4 mit 0.12698412698412698
60.Platz: 318 mit 0.12380952380952381
61.Platz: 317 mit 0.12380952380952381
62.Platz: 98 mit 0.12337662337662336
63.Platz: 10 mit 0.12337662337662336
64.Platz: 94 mit 0.11671686746987953
65.Platz: 293 mit 0.11494252873563204
66.Platz: 3 mit 0.11414392059553347
67.Platz: 93 mit 0.11363636363636376
68.Platz: 14 mit 0.1071428571428572
69.Platz: 12 mit 0.1071428571428572
70.Platz: 111 mit 0.10174809502465254
71.Platz: 178 mit 0.10152931180968572
72.Platz: 88 mit 0.09722222222222221
73.Platz: 81 mit 0.09722222222222221
74.Platz: 79 mit 0.09722222222222221
75.Platz: 24 mit 0.09677419354838701
76.Platz: 23 mit 0.09677419354838701
77.Platz: 22 mit 0.09677419354838701
78.Platz: 20 mit 0.09677419354838701
79.Platz: 19 mit 0.09677419354838701
80.Platz: 18 mit 0.09677419354838701
81.Platz: 100 mit 0.09554730983302417
