abgeschlossen in 16.43077247540156 Minuten
wurde auf die 3-Nachbarschaft jedes Knotens angewendet.
1.Platz: 925 mit 0.4285714285714286
2.Platz: 1033 mit 0.3999999999999999
3.Platz: 1870 mit 0.33333333333333337
4.Platz: 1869 mit 0.33333333333333337
5.Platz: 1867 mit 0.33333333333333337
6.Platz: 1866 mit 0.33333333333333337
7.Platz: 1716 mit 0.33333333333333337
8.Platz: 1715 mit 0.33333333333333337
9.Platz: 1673 mit 0.33333333333333337
10.Platz: 1672 mit 0.33333333333333337
11.Platz: 1517 mit 0.33333333333333337
12.Platz: 1516 mit 0.33333333333333337
13.Platz: 1461 mit 0.33333333333333337
14.Platz: 1460 mit 0.33333333333333337
15.Platz: 1300 mit 0.33333333333333337
16.Platz: 1265 mit 0.33333333333333337
17.Platz: 1147 mit 0.33333333333333337
18.Platz: 1146 mit 0.33333333333333337
19.Platz: 1067 mit 0.33333333333333337
20.Platz: 1066 mit 0.33333333333333337
21.Platz: 1053 mit 0.33333333333333337
22.Platz: 1052 mit 0.33333333333333337
23.Platz: 1021 mit 0.33333333333333337
24.Platz: 1020 mit 0.33333333333333337
25.Platz: 415 mit 0.33333333333333337
26.Platz: 414 mit 0.33333333333333337
27.Platz: 193 mit 0.33333333333333337
28.Platz: 192 mit 0.33333333333333337
29.Platz: 100 mit 0.22986556332612562
30.Platz: 62 mit 0.17439013418587046
31.Platz: 841 mit 0.15705272645335744
32.Platz: 840 mit 0.140625
33.Platz: 5 mit 0.10358860439649664
34.Platz: 353 mit 0.10320646357920449
35.Platz: 1888 mit 0.10000000000000009
36.Platz: 1032 mit 0.10000000000000009
37.Platz: 16 mit 0.0985923580405278
38.Platz: 341 mit 0.07749760034487707
39.Platz: 49 mit 0.0711937070890174
40.Platz: 4 mit 0.05411235655108915
41.Platz: 182 mit 0.04782272640289231
42.Platz: 1621 mit 0.04761904761904767
43.Platz: 1620 mit 0.04761904761904767
44.Platz: 926 mit 0.04761904761904767
45.Platz: 3 mit 0.03714774718234737
46.Platz: 41 mit 0.0365425856081123
47.Platz: 1628 mit 0.02777777777777768
48.Platz: 322 mit 0.025759419721029908
49.Platz: 321 mit 0.02106637515779075
50.Platz: 36 mit 0.019032225174358763
51.Platz: 84 mit 0.016826591187104833
52.Platz: 437 mit 0.01597140063225544
53.Platz: 407 mit 0.012558535066767407
54.Platz: 392 mit 0.011605309601887659
55.Platz: 86 mit 0.011005670256987954
56.Platz: 63 mit 0.010925472784102386
57.Platz: 1169 mit 0.00952380952380949
58.Platz: 1168 mit 0.00952380952380949
59.Platz: 311 mit 0.00952380952380949
60.Platz: 386 mit 0.008846455447957924
61.Platz: 77 mit 0.008689317016010722
62.Platz: 359 mit 0.008443139881932904
63.Platz: 793 mit 0.008363753854748301
64.Platz: 811 mit 0.008359962218411177
65.Platz: 483 mit 0.008244198296099348
66.Platz: 1193 mit 0.007770504399021938
67.Platz: 406 mit 0.007341671328402688
68.Platz: 1279 mit 0.007340623545835423
69.Platz: 170 mit 0.007325704480985129
70.Platz: 1194 mit 0.00719506354367172
71.Platz: 439 mit 0.00708613032801142
72.Platz: 357 mit 0.007071885297053271
73.Platz: 383 mit 0.006828654020630376
74.Platz: 741 mit 0.006711119468599369
75.Platz: 1294 mit 0.006677524429967496
76.Platz: 26 mit 0.006363989467081943
77.Platz: 598 mit 0.006244531693410549
78.Platz: 344 mit 0.006149045961838406
79.Platz: 370 mit 0.0060150317033831335
80.Platz: 679 mit 0.006013771944949009
81.Platz: 923 mit 0.005931277007028002
82.Platz: 354 mit 0.005519641144696497
83.Platz: 148 mit 0.005416880993468931
84.Platz: 169 mit 0.005408271714841262
85.Platz: 25 mit 0.005380494880065645
86.Platz: 85 mit 0.005376885380262375
87.Platz: 1664 mit 0.005337683685946004
88.Platz: 1114 mit 0.005301220134705464
89.Platz: 280 mit 0.005111800638852193
90.Platz: 283 mit 0.004957099331592496
91.Platz: 1619 mit 0.004904767777048624
92.Platz: 454 mit 0.004885571983718862
93.Platz: 372 mit 0.004871331733084183
94.Platz: 74 mit 0.004727883713777192
95.Platz: 683 mit 0.004718192347599959
96.Platz: 329 mit 0.004702584134980259
97.Platz: 1599 mit 0.004699895351584993
98.Platz: 1290 mit 0.004685720057687748
99.Platz: 438 mit 0.004638222803011405
100.Platz: 731 mit 0.004584025221672006
101.Platz: 589 mit 0.004563209338532936
102.Platz: 567 mit 0.004539632650836678
103.Platz: 325 mit 0.0044215920877517245
104.Platz: 83 mit 0.004347653729153356
105.Platz: 860 mit 0.004223924917184152
106.Platz: 375 mit 0.004195294194097254
107.Platz: 35 mit 0.004166753676890678
108.Platz: 76 mit 0.004101226333907082
109.Platz: 958 mit 0.0040459293422236975
110.Platz: 1019 mit 0.004037984463790334
111.Platz: 204 mit 0.004022836978422872
112.Platz: 967 mit 0.004014149828490021
113.Platz: 1597 mit 0.003994100518438626
114.Platz: 1442 mit 0.003944694412018723
115.Platz: 1881 mit 0.003920517924247413
116.Platz: 417 mit 0.0038981592929294706
117.Platz: 198 mit 0.003896863601370537
118.Platz: 38 mit 0.0038305271386186446
119.Platz: 409 mit 0.0038169547642744606
120.Platz: 71 mit 0.0037839706021055575
121.Platz: 238 mit 0.003774924480758113
122.Platz: 1413 mit 0.003742964405362481
123.Platz: 1201 mit 0.003632358455193163
124.Platz: 1018 mit 0.0036179645194752696
125.Platz: 1079 mit 0.0035848036713708176
126.Platz: 403 mit 0.0035672622803537557
127.Platz: 433 mit 0.0035590345563304426
128.Platz: 463 mit 0.0035214780894454734
129.Platz: 400 mit 0.003514190284581886
130.Platz: 1208 mit 0.0035072754922812477
131.Platz: 1275 mit 0.0034986820033550137
132.Platz: 394 mit 0.003475419656356671
133.Platz: 535 mit 0.0034687128177528503
134.Platz: 194 mit 0.0034342910989667574
135.Platz: 1589 mit 0.0034181052756059316
136.Platz: 342 mit 0.003403409386827705
137.Platz: 434 mit 0.0033834493393947174
138.Platz: 1007 mit 0.0033710565082416544
139.Platz: 591 mit 0.003360471528235598
140.Platz: 431 mit 0.0033530110716742945
141.Platz: 639 mit 0.0033458704054217803
142.Platz: 1118 mit 0.0033229454047816187
143.Platz: 699 mit 0.003291856606465582
144.Platz: 571 mit 0.003277488779985571
145.Platz: 11 mit 0.003271468474332462
146.Platz: 1865 mit 0.0032507926661151654
147.Platz: 921 mit 0.0032346078991367655
148.Platz: 1044 mit 0.003231210780068716
149.Platz: 1429 mit 0.0032154089936053953
150.Platz: 1241 mit 0.0032090019362239763
151.Platz: 480 mit 0.0032059063744056537
152.Platz: 397 mit 0.003204946335796488
153.Platz: 1109 mit 0.00319371541462532
154.Platz: 34 mit 0.0031656933482115956
155.Platz: 1110 mit 0.0031640478361131263
156.Platz: 908 mit 0.003163091263522877
157.Platz: 736 mit 0.0031625743397146744
158.Platz: 1045 mit 0.003127079253571363
159.Platz: 1080 mit 0.003119634647822167
160.Platz: 1398 mit 0.0031084336870790263
161.Platz: 933 mit 0.003103333831356858
162.Platz: 1046 mit 0.003100488808645663
163.Platz: 376 mit 0.0030899482449234794
164.Platz: 515 mit 0.0030446785212803196
165.Platz: 391 mit 0.003007722769142407
166.Platz: 1248 mit 0.003005150267444523
167.Platz: 1182 mit 0.0029969107266187844
168.Platz: 1436 mit 0.002989260510577685
169.Platz: 948 mit 0.0029581006644672225
170.Platz: 1198 mit 0.002945954773477033
171.Platz: 1421 mit 0.002943992404738527
