abgeschlossen in 90.88389292955398 Minuten
wurde auf die 10-Nachbarschaft jedes Knotens angewendet.
1.Platz: 1821 mit 0.5
2.Platz: 819 mit 0.5
3.Platz: 1833 mit 0.33333333333333337
4.Platz: 1801 mit 0.33333333333333337
5.Platz: 210 mit 0.33333333333333337
6.Platz: 85 mit 0.33333333333333337
7.Platz: 656 mit 0.01979281100507957
8.Platz: 127 mit 0.014143405937979692
9.Platz: 0 mit 0.013608075875358394
10.Platz: 514 mit 0.012894860094011973
11.Platz: 28 mit 0.00926744128427115
12.Platz: 860 mit 0.008776164424719846
13.Platz: 209 mit 0.006967752556927387
14.Platz: 1598 mit 0.0066476697903185
15.Platz: 27 mit 0.0064591889974372485
16.Platz: 318 mit 0.00614635549209297
17.Platz: 1117 mit 0.006129626427636037
18.Platz: 8 mit 0.006123492437335121
19.Platz: 1669 mit 0.006055460908543697
20.Platz: 172 mit 0.005890400805902196
21.Platz: 247 mit 0.005636119026157127
22.Platz: 47 mit 0.005613255971399278
23.Platz: 48 mit 0.005494479613755265
24.Platz: 357 mit 0.005474404736406924
25.Platz: 788 mit 0.005352840201353404
26.Platz: 33 mit 0.005352282565871391
27.Platz: 1757 mit 0.005326631333704146
28.Platz: 295 mit 0.005267521972623035
29.Platz: 35 mit 0.0052284874888902655
30.Platz: 72 mit 0.005076253002332387
31.Platz: 979 mit 0.004983127876855509
32.Platz: 154 mit 0.004852083538609664
33.Platz: 742 mit 0.004414897320802358
34.Platz: 1264 mit 0.004271585001954792
35.Platz: 456 mit 0.004225301256957303
36.Platz: 1 mit 0.004196304211898649
37.Platz: 1515 mit 0.004146674654009863
38.Platz: 36 mit 0.0038773367162535655
39.Platz: 1357 mit 0.003866184006615536
40.Platz: 828 mit 0.0037641367134283454
41.Platz: 434 mit 0.0036871830169266095
42.Platz: 268 mit 0.003667108139578379
43.Platz: 287 mit 0.0036487061686757416
44.Platz: 1654 mit 0.0036375534590377123
45.Platz: 668 mit 0.0036185938526531736
46.Platz: 1213 mit 0.0035935002559679408
47.Platz: 12 mit 0.0034786273466971274
48.Platz: 454 mit 0.0033849445857383476
49.Platz: 1258 mit 0.0033269504956210394
50.Platz: 410 mit 0.003294050002189186
51.Platz: 764 mit 0.0032762056667683392
52.Platz: 565 mit 0.0031981366993028004
53.Platz: 970 mit 0.003181965270327769
54.Platz: 917 mit 0.0030743416223215636
55.Platz: 68 mit 0.003073783986839773
56.Platz: 1130 mit 0.003035307138588794
57.Platz: 231 mit 0.0030213662515414796
58.Platz: 133 mit 0.003020808616059467
59.Platz: 1345 mit 0.003008540635457746
60.Platz: 324 mit 0.002983447038772402
61.Platz: 151 mit 0.0029756401420258927
62.Platz: 363 mit 0.002975082506543991
63.Platz: 451 mit 0.002970063787206878
64.Platz: 470 mit 0.0029695061517249766
65.Platz: 337 mit 0.0029572381711232554
66.Platz: 901 mit 0.0029226647712455867
67.Platz: 286 mit 0.002920434229317981
68.Platz: 307 mit 0.002885860829440423
69.Platz: 1042 mit 0.002870247035947293
70.Platz: 596 mit 0.0028128105813118864
71.Platz: 186 mit 0.0027609504814954944
72.Platz: 348 mit 0.002752028313785071
73.Platz: 29 mit 0.002749797771857576
74.Platz: 859 mit 0.002745894323484266
75.Platz: 507 mit 0.0027369721557738425
76.Platz: 1521 mit 0.0027308381654730374
77.Platz: 1099 mit 0.0027286076235454315
78.Platz: 754 mit 0.002697937672041073
79.Platz: 829 mit 0.002683439149511746
80.Platz: 196 mit 0.0026789780656566453
81.Platz: 179 mit 0.0026516539270435846
82.Platz: 591 mit 0.0026371554045143686
83.Platz: 1511 mit 0.002628233236803945
84.Platz: 404 mit 0.002610946536865111
85.Platz: 852 mit 0.0026048125465641947
86.Platz: 823 mit 0.0025457031854831946
87.Platz: 617 mit 0.0025289741210262617
88.Platz: 707 mit 0.0025200519533159493
89.Platz: 1331 mit 0.002481017469583069
90.Platz: 1692 mit 0.0024743258438003624
91.Platz: 1100 mit 0.0024720953018727565
92.Platz: 587 mit 0.0024720953018727565
93.Platz: 1089 mit 0.002466518947053742
94.Platz: 261 mit 0.0024553662374158236
95.Platz: 559 mit 0.002454808601933922
96.Platz: 589 mit 0.002435291360067593
97.Platz: 759 mit 0.002433060818139987
98.Platz: 757 mit 0.0024213504730200563
99.Platz: 372 mit 0.002416331753683054
100.Platz: 1025 mit 0.002407409585972742
101.Platz: 188 mit 0.0023973721472985154
102.Platz: 1070 mit 0.0023923534279615133
103.Platz: 1606 mit 0.0023711632796493687
104.Platz: 1328 mit 0.0023694903732037753
105.Platz: 396 mit 0.002368932737721763
106.Platz: 1356 mit 0.002363356382902859
107.Platz: 1398 mit 0.0023611258409751423
108.Platz: 1440 mit 0.002359452934529549
109.Platz: 128 mit 0.002346069682964025
110.Platz: 1127 mit 0.002328225347543289
111.Platz: 422 mit 0.0023237642636880773
112.Platz: 673 mit 0.002318745544351075
113.Platz: 1251 mit 0.0023176302733872722
114.Platz: 919 mit 0.002315957366941457
115.Platz: 76 mit 0.0023131691895320605
116.Platz: 367 mit 0.0022964401250751276
117.Platz: 971 mit 0.0022947672186295343
118.Platz: 550 mit 0.0022942095831475218
119.Platz: 627 mit 0.0022925366767019284
120.Platz: 426 mit 0.0022903061347742115
121.Platz: 695 mit 0.0022830568735096035
122.Platz: 1061 mit 0.0022707888929078823
123.Platz: 482 mit 0.0022685583509802765
124.Platz: 765 mit 0.0022579632768242597
125.Platz: 45 mit 0.0022568480058604568
126.Platz: 101 mit 0.0022507140155596517
127.Platz: 1246 mit 0.002250156380077639
128.Platz: 92 mit 0.0022395613059216224
129.Platz: 987 mit 0.002235657857548312
130.Platz: 1030 mit 0.002227293325319901
131.Platz: 300 mit 0.0022217169705008866
132.Platz: 1267 mit 0.002213910073754377
133.Platz: 943 mit 0.0021971810092975552
134.Platz: 1513 mit 0.0021966233738155427
135.Platz: 1255 mit 0.002193277560924245
136.Platz: 435 mit 0.002177663767431004
137.Platz: 630 mit 0.002157031254600872
138.Platz: 1059 mit 0.002154800712673266
139.Platz: 1216 mit 0.002153685441709463
140.Platz: 558 mit 0.0021492243578543624
141.Platz: 1616 mit 0.002138071648216444
142.Platz: 230 mit 0.002131937657915528
143.Platz: 431 mit 0.0021313800224336266
144.Platz: 1354 mit 0.002126918938578415
145.Platz: 302 mit 0.0021263613030965134
146.Platz: 1149 mit 0.0021129780515309893
147.Platz: 16 mit 0.0021118627805671863
148.Platz: 846 mit 0.00210517115478448
149.Platz: 1163 mit 0.0020929031741827586
150.Platz: 925 mit 0.0020856539129180396
151.Platz: 149 mit 0.0020627908581601906
152.Platz: 554 mit 0.0020600026807507943
153.Platz: 960 mit 0.0020555415968955826
154.Platz: 313 mit 0.0020533110549679767
155.Platz: 433 mit 0.0020516381485223834
156.Platz: 861 mit 0.002047734700149073
157.Platz: 6 mit 0.0020371396259929453
158.Platz: 218 mit 0.002034351448583549
159.Platz: 1116 mit 0.0020298903647283373
160.Platz: 658 mit 0.0020287750937645344
161.Platz: 457 mit 0.002024871645391224
