abgeschlossen in 0.05684843858083089 Minuten
wurde auf die 2-Nachbarschaft jedes Knotens angewendet.
1.Platz: 37 mit 0.020933945320295466
2.Platz: 71 mit 0.020539730134932377
3.Platz: 89 mit 0.01889830508474577
4.Platz: 3 mit 0.018289473684210522
5.Platz: 66 mit 0.018123412084221746
6.Platz: 1 mit 0.01733286915424459
7.Platz: 74 mit 0.017150805114213963
8.Platz: 69 mit 0.017148052907497213
9.Platz: 36 mit 0.016807318629884493
10.Platz: 80 mit 0.016476500950828643
11.Platz: 53 mit 0.01567892176843022
12.Platz: 52 mit 0.015369082342382767
13.Platz: 33 mit 0.015327780047244444
14.Platz: 0 mit 0.015114460400966867
15.Platz: 75 mit 0.014866521717807446
16.Platz: 17 mit 0.014755988716391832
17.Platz: 73 mit 0.014649573932955517
18.Platz: 64 mit 0.014472723386823927
19.Platz: 24 mit 0.014385954863100014
20.Platz: 72 mit 0.014002093308828956
21.Platz: 32 mit 0.013965201465201527
22.Platz: 26 mit 0.013953792359726824
23.Platz: 27 mit 0.013927663392990675
24.Platz: 28 mit 0.01379527559055116
25.Platz: 55 mit 0.013634169884169767
26.Platz: 25 mit 0.013628290572739843
27.Platz: 58 mit 0.013590906448049278
28.Platz: 83 mit 0.013448370706003243
29.Platz: 59 mit 0.013431286805433928
30.Platz: 47 mit 0.013393886462881976
31.Platz: 49 mit 0.013358575343526913
32.Platz: 23 mit 0.01333522485458949
33.Platz: 57 mit 0.013281327145255317
34.Platz: 90 mit 0.013078389773612198
35.Platz: 63 mit 0.01290184731449473
36.Platz: 22 mit 0.012826716294458196
37.Platz: 81 mit 0.01279972392344697
38.Platz: 70 mit 0.012795570188566363
39.Platz: 79 mit 0.012789688105256158
40.Platz: 46 mit 0.012778997668079106
41.Platz: 18 mit 0.012722077673312349
42.Platz: 56 mit 0.012715511029305793
43.Platz: 84 mit 0.012585819760707717
44.Platz: 9 mit 0.012565200967666779
45.Platz: 30 mit 0.012510824072737847
46.Platz: 31 mit 0.012448533751160618
47.Platz: 88 mit 0.01242622705879426
48.Platz: 43 mit 0.012423951968262847
49.Platz: 6 mit 0.01235427439165071
50.Platz: 48 mit 0.012301800376219196
51.Platz: 85 mit 0.012294809458504807
52.Platz: 65 mit 0.012218771185772637
53.Platz: 19 mit 0.012193766937669381
54.Platz: 11 mit 0.012184375772381628
55.Platz: 78 mit 0.012065486000266468
56.Platz: 8 mit 0.012009642341064608
57.Platz: 10 mit 0.012005752990992935
58.Platz: 5 mit 0.012003330470907625
59.Platz: 42 mit 0.011992933003274087
60.Platz: 35 mit 0.011985921488916418
61.Platz: 2 mit 0.011985921488916418
62.Platz: 21 mit 0.011916207558234526
63.Platz: 41 mit 0.011903114186851194
64.Platz: 67 mit 0.011892036344200996
65.Platz: 61 mit 0.011835316584688726
66.Platz: 86 mit 0.01182769396143346
67.Platz: 50 mit 0.01182769396143346
68.Platz: 51 mit 0.011819231509397676
69.Platz: 16 mit 0.011815460468392325
70.Platz: 14 mit 0.011782811523108672
71.Platz: 29 mit 0.011770643690177884
72.Platz: 40 mit 0.011752421638826949
73.Platz: 15 mit 0.01173520617949475
74.Platz: 38 mit 0.01170386584114358
75.Platz: 54 mit 0.011635434079641072
76.Platz: 39 mit 0.011605250487114471
77.Platz: 76 mit 0.011598273001659054
78.Platz: 44 mit 0.011593199096291085
79.Platz: 7 mit 0.01150444790263383
80.Platz: 12 mit 0.011472358487283785
81.Platz: 68 mit 0.011384794250875352
82.Platz: 34 mit 0.011372654127317028
83.Platz: 4 mit 0.011366258159955511
84.Platz: 20 mit 0.01136219372857672
85.Platz: 13 mit 0.011325585010510508
86.Platz: 82 mit 0.01127691311486767
87.Platz: 62 mit 0.01123729664455031
88.Platz: 87 mit 0.011198507294632454
89.Platz: 91 mit 0.011171421943864446
90.Platz: 77 mit 0.01098901098901095
91.Platz: 45 mit 0.010659895638167494
92.Platz: 60 mit 0.010298409847427359
