abgeschlossen in 155.54953645865123 Minuten
wurde auf die 5-Nachbarschaft jedes Knotens angewendet.
1.Platz: 5029 mit 0.7142857142857143
2.Platz: 3466 mit 0.6739130434782609
3.Platz: 587 mit 0.6739130434782609
4.Platz: 8200 mit 0.6666666666666667
5.Platz: 7656 mit 0.6666666666666667
6.Platz: 7571 mit 0.6666666666666667
7.Platz: 6732 mit 0.6666666666666667
8.Platz: 4589 mit 0.6666666666666667
9.Platz: 3582 mit 0.6666666666666667
10.Platz: 3570 mit 0.6666666666666667
11.Platz: 3271 mit 0.6666666666666667
12.Platz: 1341 mit 0.6666666666666667
13.Platz: 407 mit 0.6402116402116402
14.Platz: 6518 mit 0.6263736263736264
15.Platz: 8203 mit 0.625
16.Platz: 7635 mit 0.625
17.Platz: 6890 mit 0.625
18.Platz: 6035 mit 0.625
19.Platz: 5400 mit 0.6
20.Platz: 4994 mit 0.588235294117647
21.Platz: 3599 mit 0.5875
22.Platz: 8877 mit 0.5833333333333334
23.Platz: 8382 mit 0.5833333333333334
24.Platz: 6643 mit 0.5833333333333334
25.Platz: 6559 mit 0.5833333333333334
26.Platz: 6555 mit 0.5833333333333334
27.Platz: 3597 mit 0.55
28.Platz: 5965 mit 0.5333333333333332
29.Platz: 5962 mit 0.5333333333333332
30.Platz: 3811 mit 0.5320401046207498
31.Platz: 7636 mit 0.5238095238095238
32.Platz: 2380 mit 0.5238095238095238
33.Platz: 2372 mit 0.5238095238095238
34.Platz: 7285 mit 0.5238095238095237
35.Platz: 5046 mit 0.5216049382716048
36.Platz: 7294 mit 0.5125
37.Platz: 4705 mit 0.5125
38.Platz: 3602 mit 0.5074626865671641
39.Platz: 9692 mit 0.5
40.Platz: 9691 mit 0.5
41.Platz: 9690 mit 0.5
42.Platz: 9689 mit 0.5
43.Platz: 9559 mit 0.5
44.Platz: 9558 mit 0.5
45.Platz: 9543 mit 0.5
46.Platz: 9542 mit 0.5
47.Platz: 9421 mit 0.5
48.Platz: 9420 mit 0.5
49.Platz: 9071 mit 0.5
50.Platz: 9070 mit 0.5
51.Platz: 8866 mit 0.5
52.Platz: 8865 mit 0.5
53.Platz: 8864 mit 0.5
54.Platz: 8863 mit 0.5
55.Platz: 8857 mit 0.5
56.Platz: 8856 mit 0.5
57.Platz: 8639 mit 0.5
58.Platz: 8638 mit 0.5
59.Platz: 8518 mit 0.5
60.Platz: 8517 mit 0.5
61.Platz: 8388 mit 0.5
62.Platz: 8387 mit 0.5
63.Platz: 8384 mit 0.5
64.Platz: 8383 mit 0.5
65.Platz: 8378 mit 0.5
66.Platz: 8377 mit 0.5
67.Platz: 8376 mit 0.5
68.Platz: 8375 mit 0.5
69.Platz: 8360 mit 0.5
70.Platz: 8359 mit 0.5
71.Platz: 8205 mit 0.5
72.Platz: 8204 mit 0.5
73.Platz: 8132 mit 0.5
74.Platz: 8131 mit 0.5
75.Platz: 8021 mit 0.5
76.Platz: 8020 mit 0.5
77.Platz: 7957 mit 0.5
78.Platz: 7956 mit 0.5
79.Platz: 7947 mit 0.5
80.Platz: 7946 mit 0.5
81.Platz: 7939 mit 0.5
82.Platz: 7938 mit 0.5
83.Platz: 7775 mit 0.5
84.Platz: 7774 mit 0.5
85.Platz: 7715 mit 0.5
86.Platz: 7714 mit 0.5
87.Platz: 7654 mit 0.5
88.Platz: 7653 mit 0.5
89.Platz: 7652 mit 0.5
90.Platz: 7651 mit 0.5
91.Platz: 7616 mit 0.5
92.Platz: 7615 mit 0.5
93.Platz: 7520 mit 0.5
94.Platz: 7519 mit 0.5
95.Platz: 7466 mit 0.5
96.Platz: 7465 mit 0.5
97.Platz: 7412 mit 0.5
98.Platz: 7411 mit 0.5
99.Platz: 7410 mit 0.5
100.Platz: 7409 mit 0.5
101.Platz: 7302 mit 0.5
102.Platz: 7301 mit 0.5
103.Platz: 7263 mit 0.5
104.Platz: 7262 mit 0.5
105.Platz: 7221 mit 0.5
106.Platz: 7220 mit 0.5
107.Platz: 7212 mit 0.5
108.Platz: 7211 mit 0.5
109.Platz: 7028 mit 0.5
110.Platz: 7027 mit 0.5
111.Platz: 6862 mit 0.5
112.Platz: 6861 mit 0.5
113.Platz: 6756 mit 0.5
114.Platz: 6755 mit 0.5
115.Platz: 6739 mit 0.5
116.Platz: 6738 mit 0.5
117.Platz: 6737 mit 0.5
118.Platz: 6736 mit 0.5
119.Platz: 6695 mit 0.5
120.Platz: 6694 mit 0.5
121.Platz: 6642 mit 0.5
122.Platz: 6641 mit 0.5
123.Platz: 6638 mit 0.5
124.Platz: 6637 mit 0.5
125.Platz: 6636 mit 0.5
126.Platz: 6635 mit 0.5
127.Platz: 6634 mit 0.5
128.Platz: 6633 mit 0.5
129.Platz: 6558 mit 0.5
130.Platz: 6557 mit 0.5
131.Platz: 6554 mit 0.5
132.Platz: 6553 mit 0.5
133.Platz: 6524 mit 0.5
134.Platz: 6523 mit 0.5
135.Platz: 6515 mit 0.5
136.Platz: 6514 mit 0.5
137.Platz: 6513 mit 0.5
138.Platz: 6512 mit 0.5
139.Platz: 6251 mit 0.5
140.Platz: 6250 mit 0.5
141.Platz: 6146 mit 0.5
142.Platz: 6145 mit 0.5
143.Platz: 6053 mit 0.5
144.Platz: 6052 mit 0.5
145.Platz: 6051 mit 0.5
146.Platz: 6050 mit 0.5
147.Platz: 6038 mit 0.5
148.Platz: 6037 mit 0.5
149.Platz: 5998 mit 0.5
150.Platz: 5997 mit 0.5
151.Platz: 5987 mit 0.5
152.Platz: 5986 mit 0.5
153.Platz: 5960 mit 0.5
154.Platz: 5959 mit 0.5
155.Platz: 5914 mit 0.5
156.Platz: 5913 mit 0.5
157.Platz: 5908 mit 0.5
158.Platz: 5907 mit 0.5
159.Platz: 5815 mit 0.5
160.Platz: 5814 mit 0.5
161.Platz: 5404 mit 0.5
162.Platz: 5396 mit 0.5
163.Platz: 5395 mit 0.5
164.Platz: 5394 mit 0.5
165.Platz: 5393 mit 0.5
166.Platz: 5327 mit 0.5
167.Platz: 5326 mit 0.5
168.Platz: 5299 mit 0.5
169.Platz: 5298 mit 0.5
170.Platz: 5272 mit 0.5
171.Platz: 5271 mit 0.5
172.Platz: 5244 mit 0.5
173.Platz: 5243 mit 0.5
174.Platz: 5174 mit 0.5
175.Platz: 5173 mit 0.5
176.Platz: 5136 mit 0.5
177.Platz: 5135 mit 0.5
178.Platz: 5088 mit 0.5
179.Platz: 5087 mit 0.5
180.Platz: 5027 mit 0.5
181.Platz: 5026 mit 0.5
182.Platz: 4956 mit 0.5
183.Platz: 4955 mit 0.5
184.Platz: 4933 mit 0.5
185.Platz: 4932 mit 0.5
186.Platz: 4919 mit 0.5
187.Platz: 4918 mit 0.5
188.Platz: 4846 mit 0.5
189.Platz: 4845 mit 0.5
190.Platz: 4704 mit 0.5
191.Platz: 4703 mit 0.5
192.Platz: 4697 mit 0.5
193.Platz: 4696 mit 0.5
194.Platz: 4693 mit 0.5
195.Platz: 4692 mit 0.5
196.Platz: 4597 mit 0.5
197.Platz: 4596 mit 0.5
198.Platz: 4588 mit 0.5
199.Platz: 4587 mit 0.5
200.Platz: 4585 mit 0.5
201.Platz: 4584 mit 0.5
202.Platz: 4583 mit 0.5
203.Platz: 4582 mit 0.5
204.Platz: 4441 mit 0.5
205.Platz: 4440 mit 0.5
206.Platz: 4340 mit 0.5
207.Platz: 4339 mit 0.5
208.Platz: 4166 mit 0.5
209.Platz: 4165 mit 0.5
210.Platz: 4142 mit 0.5
211.Platz: 4141 mit 0.5
212.Platz: 3817 mit 0.5
213.Platz: 3816 mit 0.5
214.Platz: 3810 mit 0.5
215.Platz: 3809 mit 0.5
216.Platz: 3807 mit 0.5
217.Platz: 3806 mit 0.5
218.Platz: 3576 mit 0.5
219.Platz: 3575 mit 0.5
220.Platz: 3568 mit 0.5
221.Platz: 3567 mit 0.5
222.Platz: 3566 mit 0.5
223.Platz: 3565 mit 0.5
224.Platz: 3564 mit 0.5
225.Platz: 3563 mit 0.5
226.Platz: 3562 mit 0.5
227.Platz: 3561 mit 0.5
228.Platz: 3560 mit 0.5
229.Platz: 3559 mit 0.5
230.Platz: 3462 mit 0.5
231.Platz: 3461 mit 0.5
232.Platz: 3322 mit 0.5
233.Platz: 3321 mit 0.5
234.Platz: 2529 mit 0.5
235.Platz: 2528 mit 0.5
236.Platz: 2428 mit 0.5
237.Platz: 2427 mit 0.5
238.Platz: 2248 mit 0.5
239.Platz: 2247 mit 0.5
240.Platz: 2244 mit 0.5
241.Platz: 2243 mit 0.5
242.Platz: 2237 mit 0.5
243.Platz: 2236 mit 0.5
244.Platz: 2229 mit 0.5
245.Platz: 2228 mit 0.5
