        | v | R(G-v)
--------|---|-------
1.Platz | 39 | 4394
2.Platz | 69 | 4401
3.Platz | 9 | 4403
4.Platz | 11 | 4403
5.Platz | 15 | 4403
6.Platz | 20 | 4403
7.Platz | 24 | 4403
8.Platz | 44 | 4403
9.Platz | 0 | 4404
10.Platz | 2 | 4404
11.Platz | 4 | 4404
12.Platz | 5 | 4404
13.Platz | 6 | 4404
14.Platz | 7 | 4404
15.Platz | 8 | 4404
16.Platz | 12 | 4404
17.Platz | 13 | 4404
18.Platz | 14 | 4404
19.Platz | 16 | 4404
20.Platz | 18 | 4404
21.Platz | 21 | 4404
22.Platz | 22 | 4404
23.Platz | 23 | 4404
24.Platz | 26 | 4404
25.Platz | 27 | 4404
26.Platz | 28 | 4404
27.Platz | 29 | 4404
28.Platz | 30 | 4404
29.Platz | 31 | 4404
30.Platz | 32 | 4404
31.Platz | 34 | 4404
32.Platz | 35 | 4404
33.Platz | 37 | 4404
34.Platz | 40 | 4404
35.Platz | 41 | 4404
36.Platz | 42 | 4404
37.Platz | 43 | 4404
38.Platz | 45 | 4404
39.Platz | 46 | 4404
40.Platz | 47 | 4404
41.Platz | 48 | 4404
42.Platz | 49 | 4404
43.Platz | 50 | 4404
44.Platz | 51 | 4404
45.Platz | 52 | 4404
46.Platz | 54 | 4404
47.Platz | 55 | 4404
48.Platz | 56 | 4404
49.Platz | 57 | 4404
50.Platz | 58 | 4404
51.Platz | 60 | 4404
52.Platz | 61 | 4404
53.Platz | 62 | 4404
54.Platz | 63 | 4404
55.Platz | 64 | 4404
56.Platz | 65 | 4404
57.Platz | 67 | 4404
58.Platz | 68 | 4404
59.Platz | 73 | 4404
60.Platz | 74 | 4404
61.Platz | 79 | 4404
62.Platz | 82 | 4404
63.Platz | 91 | 4404
64.Platz | 1 | 4405
65.Platz | 3 | 4405
66.Platz | 25 | 4405
67.Platz | 33 | 4405
68.Platz | 36 | 4405
69.Platz | 38 | 4405
70.Platz | 59 | 4405
71.Platz | 66 | 4405
72.Platz | 70 | 4405
73.Platz | 71 | 4405
74.Platz | 75 | 4405
75.Platz | 77 | 4405
76.Platz | 86 | 4405
77.Platz | 10 | 4406
78.Platz | 80 | 4406
79.Platz | 90 | 4406
80.Platz | 72 | 4407
81.Platz | 85 | 4407
82.Platz | 87 | 4407
83.Platz | 88 | 4407
84.Platz | 89 | 4407
85.Platz | 53 | 4408
86.Platz | 76 | 4408
87.Platz | 83 | 4408
88.Platz | 84 | 4408
89.Platz | 78 | 4410
90.Platz | 92 | 4410
91.Platz | 81 | 4411
92.Platz | 17 | 4414
93.Platz | 93 | 4414
94.Platz | 19 | 4416
95.Platz | 94 | 4419
