abgeschlossen in 177.8989338239034 Minuten
wurde auf die 6-Nachbarschaft jedes Knotens angewendet.
1.Platz: 1535 mit 0.9308176100628931
2.Platz: 3370 mit 0.9304347826086957
3.Platz: 0 mit 0.9007633587786259
4.Platz: 2188 mit 0.8939393939393939
5.Platz: 147 mit 0.8804347826086957
6.Platz: 325 mit 0.8541666666666667
7.Platz: 438 mit 0.8260869565217391
8.Platz: 529 mit 0.8240223463687151
9.Platz: 4068 mit 0.8205128205128205
10.Platz: 1724 mit 0.813953488372093
11.Platz: 947 mit 0.8108108108108109
12.Platz: 2574 mit 0.7941176470588236
13.Platz: 695 mit 0.7826086956521738
14.Platz: 2585 mit 0.7619047619047619
15.Platz: 783 mit 0.7551020408163266
16.Platz: 2251 mit 0.75
17.Platz: 311 mit 0.75
18.Platz: 177 mit 0.75
19.Platz: 25 mit 0.743421052631579
20.Platz: 2920 mit 0.736842105263158
21.Platz: 2208 mit 0.736842105263158
22.Platz: 2152 mit 0.736842105263158
23.Platz: 4596 mit 0.7333333333333334
24.Platz: 1517 mit 0.7333333333333334
25.Platz: 3565 mit 0.7142857142857143
26.Platz: 2516 mit 0.7142857142857143
27.Platz: 2137 mit 0.7142857142857143
28.Platz: 1313 mit 0.7142857142857143
29.Platz: 2991 mit 0.6923076923076923
30.Platz: 1661 mit 0.6923076923076923
31.Platz: 516 mit 0.6923076923076923
32.Platz: 510 mit 0.6923076923076923
33.Platz: 3178 mit 0.676923076923077
34.Platz: 149 mit 0.6666666666666667
35.Platz: 4122 mit 0.625
36.Platz: 4089 mit 0.625
37.Platz: 3262 mit 0.625
38.Platz: 3135 mit 0.625
39.Platz: 2903 mit 0.625
40.Platz: 2423 mit 0.625
41.Platz: 2227 mit 0.625
42.Platz: 2021 mit 0.625
43.Platz: 1997 mit 0.625
44.Platz: 1926 mit 0.625
45.Platz: 1822 mit 0.625
46.Platz: 1679 mit 0.625
47.Platz: 1584 mit 0.625
48.Platz: 900 mit 0.625
49.Platz: 796 mit 0.625
50.Platz: 338 mit 0.625
51.Platz: 352 mit 0.6
52.Platz: 1498 mit 0.5930851063829787
53.Platz: 4498 mit 0.5
54.Platz: 4497 mit 0.5
55.Platz: 4457 mit 0.5
56.Platz: 4456 mit 0.5
57.Platz: 4400 mit 0.5
58.Platz: 4399 mit 0.5
59.Platz: 4332 mit 0.5
60.Platz: 4331 mit 0.5
61.Platz: 4113 mit 0.5
62.Platz: 4112 mit 0.5
63.Platz: 4052 mit 0.5
64.Platz: 4051 mit 0.5
65.Platz: 4043 mit 0.5
66.Platz: 4042 mit 0.5
67.Platz: 3811 mit 0.5
68.Platz: 3810 mit 0.5
69.Platz: 3775 mit 0.5
70.Platz: 3774 mit 0.5
71.Platz: 3708 mit 0.5
72.Platz: 3707 mit 0.5
73.Platz: 3597 mit 0.5
74.Platz: 3596 mit 0.5
75.Platz: 3216 mit 0.5
76.Platz: 3215 mit 0.5
77.Platz: 3176 mit 0.5
78.Platz: 3175 mit 0.5
79.Platz: 3029 mit 0.5
80.Platz: 3028 mit 0.5
81.Platz: 3020 mit 0.5
82.Platz: 3019 mit 0.5
83.Platz: 2881 mit 0.5
84.Platz: 2880 mit 0.5
85.Platz: 2852 mit 0.5
86.Platz: 2851 mit 0.5
87.Platz: 2765 mit 0.5
88.Platz: 2764 mit 0.5
89.Platz: 2594 mit 0.5
90.Platz: 2593 mit 0.5
91.Platz: 2559 mit 0.5
92.Platz: 2558 mit 0.5
93.Platz: 2380 mit 0.5
94.Platz: 2379 mit 0.5
95.Platz: 2341 mit 0.5
96.Platz: 2340 mit 0.5
97.Platz: 2256 mit 0.5
98.Platz: 2255 mit 0.5
99.Platz: 2239 mit 0.5
100.Platz: 2238 mit 0.5
101.Platz: 2082 mit 0.5
102.Platz: 2081 mit 0.5
103.Platz: 1657 mit 0.5
104.Platz: 1656 mit 0.5
105.Platz: 1633 mit 0.5
106.Platz: 1632 mit 0.5
107.Platz: 1571 mit 0.5
108.Platz: 1570 mit 0.5
109.Platz: 1558 mit 0.5
110.Platz: 1557 mit 0.5
111.Platz: 1504 mit 0.5
112.Platz: 1503 mit 0.5
113.Platz: 1486 mit 0.5
114.Platz: 1485 mit 0.5
115.Platz: 1378 mit 0.5
116.Platz: 1377 mit 0.5
117.Platz: 1309 mit 0.5
118.Platz: 1308 mit 0.5
119.Platz: 1192 mit 0.5
120.Platz: 1191 mit 0.5
121.Platz: 1082 mit 0.5
122.Platz: 1081 mit 0.5
123.Platz: 1044 mit 0.5
124.Platz: 1043 mit 0.5
125.Platz: 893 mit 0.5
126.Platz: 892 mit 0.5
127.Platz: 884 mit 0.5
128.Platz: 883 mit 0.5
129.Platz: 732 mit 0.5
130.Platz: 731 mit 0.5
131.Platz: 462 mit 0.5
132.Platz: 461 mit 0.5
133.Platz: 112 mit 0.5
134.Platz: 111 mit 0.5
135.Platz: 78 mit 0.5
136.Platz: 77 mit 0.5
137.Platz: 2951 mit 0.3538461538461537
138.Platz: 3324 mit 0.353723404255319
139.Platz: 2108 mit 0.3486842105263157
140.Platz: 927 mit 0.33333333333333337
141.Platz: 150 mit 0.33333333333333337
142.Platz: 2678 mit 0.32978723404255306
143.Platz: 4597 mit 0.288888888888889
144.Platz: 1518 mit 0.288888888888889
145.Platz: 4574 mit 0.25
146.Platz: 4454 mit 0.25
147.Platz: 4327 mit 0.25
148.Platz: 4215 mit 0.25
149.Platz: 4195 mit 0.25
150.Platz: 4123 mit 0.25
151.Platz: 4090 mit 0.25
152.Platz: 3979 mit 0.25
153.Platz: 3492 mit 0.25
154.Platz: 3485 mit 0.25
155.Platz: 3425 mit 0.25
156.Platz: 3269 mit 0.25
157.Platz: 3263 mit 0.25
158.Platz: 3230 mit 0.25
159.Platz: 3136 mit 0.25
160.Platz: 3055 mit 0.25
161.Platz: 2969 mit 0.25
162.Platz: 2904 mit 0.25
163.Platz: 2842 mit 0.25
164.Platz: 2424 mit 0.25
165.Platz: 2228 mit 0.25
166.Platz: 2203 mit 0.25
167.Platz: 2117 mit 0.25
168.Platz: 2022 mit 0.25
169.Platz: 1998 mit 0.25
170.Platz: 1927 mit 0.25
171.Platz: 1823 mit 0.25
172.Platz: 1678 mit 0.25
173.Platz: 1585 mit 0.25
174.Platz: 901 mit 0.25
175.Platz: 797 mit 0.25
176.Platz: 393 mit 0.25
177.Platz: 339 mit 0.25
178.Platz: 313 mit 0.25
179.Platz: 312 mit 0.25
180.Platz: 696 mit 0.23913043478260865
181.Platz: 3797 mit 0.23809523809523814
182.Platz: 3719 mit 0.23809523809523814
183.Platz: 3566 mit 0.23809523809523814
184.Platz: 2518 mit 0.23809523809523814
185.Platz: 2517 mit 0.23809523809523814
186.Platz: 2237 mit 0.23809523809523814
187.Platz: 2138 mit 0.23809523809523814
188.Platz: 1314 mit 0.23809523809523814
189.Platz: 2588 mit 0.22619047619047605
190.Platz: 4338 mit 0.21088435374149672
191.Platz: 4603 mit 0.19999999999999996
192.Platz: 4600 mit 0.19999999999999996
193.Platz: 3106 mit 0.19999999999999996
194.Platz: 3105 mit 0.19999999999999996
195.Platz: 4169 mit 0.1923076923076924
196.Platz: 3082 mit 0.1875
197.Platz: 2252 mit 0.1875
